TaskType;Task;Metric;Complete_nq;Horizontal_nd;Minedgecut_nd;Horizontal_aligned0;Minedgecut_aligned0;Horizontal_aligned1;Minedgecut_aligned3;Horizontal100_nd;Minedgecut100_nd;Horizontal100_aligned0;Minedgecut100_aligned0;Horizontal100_aligned95;Minedgecut100_aligned73%
Classification;Cities;Accuracy;0.791428571;0.687190476;0.688285714;0.685809524;0.688285714;0.680119048;0.643285714;0.608619048;0.590547619;0.628380952;0.56952381;0.591452381;0.6475
;MetacriticMovies;Accuracy;0.717045617;0.58938881;0.593627049;0.583450344;0.603204146;0.586658648;0.598796923;0.595487943;0.575567831;0.596355132;0.599392967;0.605498931;0.597322107
;MetacriticAlbums;Accuracy;0.581692308;0.620774648;0.622749887;0.620774648;0.622749887;0.620774648;0.622749887;0.624486301;0.625342466;0.624486301;0.625342466;0.624486301;0.625342466
;AAUP;Accuracy;0.673687943;0.610546473;0.618221725;0.610020157;0.609479283;0.623843225;0.61643785;0.590078387;0.588711086;0.58512206;0.593982083;0.594080627;0.57162486
;Forbes;Accuracy;0.593604557;0.530498911;0.531656164;0.531304588;0.526107242;0.532103372;0.534137645;0.522467662;0.542888889;0.527951907;0.534962963;0.529510779;0.524814815
Regression;Cities;RMSE;15.88077037;18.97017448;21.93314585;18.95142821;21.84184828;20.88280289;21.30422087;19.64498865;22.74019863;20.32973543;23.28349373;23.20670021;21.56812742
;MetacriticMovies;RMSE;20.16212137;23.72697112;23.10404111;23.34132649;23.23765141;23.39374406;23.32955383;23.72143323;24.01687619;23.97120849;23.94439947;23.61408789;24.06230228
;MetacriticAlbums;RMSE;17.22785737;15.84837676;15.95818355;16.21214982;15.97526777;15.69866921;15.74350491;15.83252028;16.18522987;16.02631144;16.22766775;15.93471647;15.74978599
;AAUP;RMSE;64.3706065;76.628827;74.59640887;77.05379909;75.21116603;73.84544331;74.44039012;83.38106491;84.44609984;86.68638659;82.02354166;85.51264456;85.09963498
;Forbes;RMSE;35.8504907;39.32144748;37.07247239;39.53212489;37.29529463;38.90278656;38.68434816;39.67549651;39.68605522;39.06929086;39.4341555;39.18948181;39.60312126
Clustering;citiesAndCountries;ClusteringAccuracy;0.776873547;0.785548202;0.786084779;0.783491325;0.784027902;0.78268646;0.783759614;0.786174209;0.786174209;0.783223037;0.78429619;0.783580755;0.784117331
;cities2000AndCountries;ClusteringAccuracy;0.793047882;0.519337017;0.514502762;0.511510129;0.533609576;0.538674033;0.526473297;0.51427256;0.518876611;0.532688766;0.518876611;0.556169429;0.532918969
;citiesMoviesAlbumsCompaniesUnis;ClusteringAccuracy;0.816265534;0.445021236;0.460751927;0.556551833;0.547270725;0.588799748;0.566776782;0.478055687;0.457291175;0.517067799;0.538461538;0.527135441;0.517067799
;teams;ClusteringAccuracy;0.504992867;0.524488825;0.528292915;0.524013314;0.527817404;0.524013314;0.527579648;0.525915359;0.523775559;0.525439848;0.524726581;0.525439848;0.525677603
DocumentSimilarity;LP50;PearsonCorrelation;0.455282077;0.426711076;0.343102948;0.437925219;0.543146552;0.592827919;0.552052158;0.310977764;0.377036439;0.281177456;0.35120074;0.362292434;0.386165924
;LP50;SpearmanCorrelation;0.304032425;0.311630605;0.227708078;0.247171134;0.383227168;0.414082374;0.361609672;0.326082227;0.329555348;0.27199648;0.283699578;0.343948194;0.387054367
;LP50;HarmonicMean;0.359514583;0.360202421;0.273741428;0.31599197;0.449383463;0.487589796;0.436983122;0.318350935;0.351700592;0.27651078;0.313861873;0.352882073;0.386609635
EntityRelatedness;KORE1.0;KendalltauCorrelation;0.518295739;0.14887218;0.224561404;-0.401002506;-0.401002506;-0.401002506;-0.401002506;-0.4;-0.426065163;-0.4;-0.401503759;-0.400501253;-0.400501253
SemanticAnalogies;capital_country_entities;Accuracy;0.883399209;0.553359684;0.480237154;0.612648221;0.628458498;0.571146245;0.555335968;0.035573123;0.164031621;0.039525692;0.158102767;0.16798419;0.122529644
;all_capital_country_entities;Accuracy;0.723253758;0.284040672;0.249115827;0.365605659;0.347259063;0.372236958;0.333333333;0.011052166;0.054155615;0.015251989;0.053050398;0.038682582;0.032272325
;currency_entities;Accuracy;0.469496021;0.023872679;0;0.090185676;0.013262599;0.102122016;0.110079576;0.014588859;0.00397878;0.0066313;0.00530504;0.0066313;0.00397878
;city_state_entities;Accuracy;0.319148936;0.127202407;0.169316717;0.175333047;0.231628706;0.197249678;0.310700473;0.039965621;0.054576708;0.042544048;0.065320155;0.072625698;0.055006446
