test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 NB - accuracy 0.7558095238095237
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 KNN K=3 accuracy 0.6543333333333333
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 C45 - accuracy 0.5629761904761905
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.001 accuracy 0.4955238095238096
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.01 accuracy 0.4955238095238096
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.1 accuracy 0.4955238095238096
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 SVM C=1.0 accuracy 0.7994047619047617
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 SVM C=10.0 accuracy 0.7998571428571428
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 SVM C=100 accuracy 0.7820238095238093
models\model_complete\vectors_100_cosine_2_1 Classification Cities 0.981132075471698 SVM C=1000 accuracy 0.7820238095238093
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 NB - accuracy 0.6838174150629605
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 KNN K=3 accuracy 0.6228890472796387
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 C45 - accuracy 0.5865380731765264
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 SVM C=0.001 accuracy 0.5076265146115471
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 SVM C=0.01 accuracy 0.5076265146115471
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 SVM C=0.1 accuracy 0.6898648728914231
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 SVM C=1.0 accuracy 0.7211802090757901
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 SVM C=10.0 accuracy 0.6915033262057495
models\model_complete\vectors_100_cosine_2_1 Classification MetacriticMovies 0.9179999999999999 SVM C=100 accuracy 0.6606251484913283
