;file;count;share
1;models/model_horizontal\model_horizontal_1\vectors.txt;7684;0.3150859064255546
3;models/model_horizontal\model_horizontal_3\vectors.txt;7631;0.31291261737811127
0;models/model_horizontal\model_horizontal_0\vectors.txt;7447;0.3053676138926477
4;models/model_horizontal\model_horizontal_4\vectors.txt;7154;0.2933530159511215
2;models/model_horizontal\model_horizontal_2\vectors.txt;7106;0.2913847541723049
6;models/model_horizontal\model_horizontal_6\vectors.txt;7034;0.28843236150408
5;models/model_horizontal\model_horizontal_5\vectors.txt;6909;0.28330667978841184
9;models/model_horizontal\model_horizontal_9\vectors.txt;6821;0.2796981998605815
8;models/model_horizontal\model_horizontal_8\vectors.txt;6786;0.27826300898019435
7;models/model_horizontal\model_horizontal_7\vectors.txt;6781;0.27805798171156765
