;file;count;share
71;models/model_minedgecut100\model_minedgecut_73\vectors.txt;3121;0.12797802107680323
62;models/model_minedgecut100\model_minedgecut_65\vectors.txt;3060;0.12547668839955714
65;models/model_minedgecut100\model_minedgecut_68\vectors.txt;3005;0.12322138844466314
66;models/model_minedgecut100\model_minedgecut_69\vectors.txt;3002;0.1230983720834871
72;models/model_minedgecut100\model_minedgecut_74\vectors.txt;2943;0.12067905031369172
70;models/model_minedgecut100\model_minedgecut_72\vectors.txt;2938;0.12047402304506499
64;models/model_minedgecut100\model_minedgecut_67\vectors.txt;2878;0.11801369582154426
63;models/model_minedgecut100\model_minedgecut_66\vectors.txt;2875;0.11789067946036823
61;models/model_minedgecut100\model_minedgecut_64\vectors.txt;2838;0.11637347767253045
18;models/model_minedgecut100\model_minedgecut_25\vectors.txt;2806;0.11506130315331939
69;models/model_minedgecut100\model_minedgecut_71\vectors.txt;2795;0.11461024316234059
49;models/model_minedgecut100\model_minedgecut_53\vectors.txt;2770;0.11358510681920696
68;models/model_minedgecut100\model_minedgecut_70\vectors.txt;2769;0.11354410136548161
89;models/model_minedgecut100\model_minedgecut_9\vectors.txt;2732;0.11202689957764382
60;models/model_minedgecut100\model_minedgecut_63\vectors.txt;2726;0.11178086685529176
51;models/model_minedgecut100\model_minedgecut_55\vectors.txt;2724;0.11169885594784107
56;models/model_minedgecut100\model_minedgecut_6\vectors.txt;2690;0.11030467052117932
57;models/model_minedgecut100\model_minedgecut_60\vectors.txt;2684;0.11005863779882724
82;models/model_minedgecut100\model_minedgecut_83\vectors.txt;2674;0.10964858326157378
50;models/model_minedgecut100\model_minedgecut_54\vectors.txt;2674;0.10964858326157378
84;models/model_minedgecut100\model_minedgecut_85\vectors.txt;2671;0.10952556690039775
54;models/model_minedgecut100\model_minedgecut_58\vectors.txt;2662;0.10915651781686965
80;models/model_minedgecut100\model_minedgecut_81\vectors.txt;2655;0.10886947964079223
85;models/model_minedgecut100\model_minedgecut_86\vectors.txt;2655;0.10886947964079223
59;models/model_minedgecut100\model_minedgecut_62\vectors.txt;2652;0.10874646327961619
81;models/model_minedgecut100\model_minedgecut_82\vectors.txt;2646;0.10850043055726412
97;models/model_minedgecut100\model_minedgecut_97\vectors.txt;2640;0.10825439783491204
55;models/model_minedgecut100\model_minedgecut_59\vectors.txt;2639;0.1082133923811867
0;models/model_minedgecut100\model_minedgecut_0\vectors.txt;2629;0.10780333784393324
46;models/model_minedgecut100\model_minedgecut_50\vectors.txt;2628;0.1077623323902079
76;models/model_minedgecut100\model_minedgecut_78\vectors.txt;2624;0.10759831057530651
91;models/model_minedgecut100\model_minedgecut_91\vectors.txt;2616;0.10727026694550375
92;models/model_minedgecut100\model_minedgecut_92\vectors.txt;2615;0.1072292614917784
21;models/model_minedgecut100\model_minedgecut_28\vectors.txt;2615;0.1072292614917784
28;models/model_minedgecut100\model_minedgecut_34\vectors.txt;2606;0.10686021240825029
83;models/model_minedgecut100\model_minedgecut_84\vectors.txt;2602;0.10669619059334892
90;models/model_minedgecut100\model_minedgecut_90\vectors.txt;2601;0.10665518513962358
47;models/model_minedgecut100\model_minedgecut_51\vectors.txt;2600;0.10661417968589823
45;models/model_minedgecut100\model_minedgecut_5\vectors.txt;2597;0.1064911633247222
94;models/model_minedgecut100\model_minedgecut_94\vectors.txt;2595;0.1064091524172715
88;models/model_minedgecut100\model_minedgecut_89\vectors.txt;2588;0.10612211424119408
77;models/model_minedgecut100\model_minedgecut_79\vectors.txt;2576;0.10563004879648993
93;models/model_minedgecut100\model_minedgecut_93\vectors.txt;2568;0.10530200516668717
98;models/model_minedgecut100\model_minedgecut_98\vectors.txt;2568;0.10530200516668717
52;models/model_minedgecut100\model_minedgecut_56\vectors.txt;2562;0.1050559724443351
53;models/model_minedgecut100\model_minedgecut_57\vectors.txt;2557;0.10485094517570837
73;models/model_minedgecut100\model_minedgecut_75\vectors.txt;2554;0.10472792881453233
1;models/model_minedgecut100\model_minedgecut_1\vectors.txt;2553;0.10468692336080698
74;models/model_minedgecut100\model_minedgecut_76\vectors.txt;2550;0.10456390699963095
23;models/model_minedgecut100\model_minedgecut_3\vectors.txt;2547;0.10444089063845491
20;models/model_minedgecut100\model_minedgecut_27\vectors.txt;2546;0.10439988518472956
95;models/model_minedgecut100\model_minedgecut_95\vectors.txt;2543;0.10427686882355353
87;models/model_minedgecut100\model_minedgecut_88\vectors.txt;2538;0.10407184155492681
96;models/model_minedgecut100\model_minedgecut_96\vectors.txt;2535;0.10394882519375077
2;models/model_minedgecut100\model_minedgecut_10\vectors.txt;2532;0.10382580883257474
67;models/model_minedgecut100\model_minedgecut_7\vectors.txt;2528;0.10366178701767335
34;models/model_minedgecut100\model_minedgecut_4\vectors.txt;2523;0.10345675974904663
37;models/model_minedgecut100\model_minedgecut_42\vectors.txt;2513;0.10304670521179317
75;models/model_minedgecut100\model_minedgecut_77\vectors.txt;2512;0.10300569975806782
58;models/model_minedgecut100\model_minedgecut_61\vectors.txt;2510;0.10292368885061713
25;models/model_minedgecut100\model_minedgecut_31\vectors.txt;2506;0.10275966703571575
19;models/model_minedgecut100\model_minedgecut_26\vectors.txt;2502;0.10259564522081437
30;models/model_minedgecut100\model_minedgecut_36\vectors.txt;2494;0.1022676015910116
33;models/model_minedgecut100\model_minedgecut_39\vectors.txt;2490;0.10210357977611022
