;file;count;share
1;models/model_horizontal\model_horizontal_1\vectors.txt;8104;0.3288961038961039
3;models/model_horizontal\model_horizontal_3\vectors.txt;8065;0.3273133116883117
0;models/model_horizontal\model_horizontal_0\vectors.txt;7849;0.3185470779220779
4;models/model_horizontal\model_horizontal_4\vectors.txt;7549;0.30637175324675325
2;models/model_horizontal\model_horizontal_2\vectors.txt;7531;0.30564123376623376
6;models/model_horizontal\model_horizontal_6\vectors.txt;7455;0.3025568181818182
5;models/model_horizontal\model_horizontal_5\vectors.txt;7308;0.29659090909090907
9;models/model_horizontal\model_horizontal_9\vectors.txt;7233;0.2935470779220779
8;models/model_horizontal\model_horizontal_8\vectors.txt;7223;0.29314123376623374
7;models/model_horizontal\model_horizontal_7\vectors.txt;7206;0.2924512987012987
