;file;count;share
95;models/model_horizontal100\model_horizontal_95\vectors.txt;2847;0.11554383116883117
44;models/model_horizontal100\model_horizontal_44\vectors.txt;2828;0.11477272727272728
49;models/model_horizontal100\model_horizontal_49\vectors.txt;2778;0.11274350649350649
52;models/model_horizontal100\model_horizontal_52\vectors.txt;2757;0.11189123376623376
33;models/model_horizontal100\model_horizontal_33\vectors.txt;2757;0.11189123376623376
48;models/model_horizontal100\model_horizontal_48\vectors.txt;2733;0.11091720779220779
12;models/model_horizontal100\model_horizontal_12\vectors.txt;2729;0.11075487012987013
31;models/model_horizontal100\model_horizontal_31\vectors.txt;2720;0.11038961038961038
92;models/model_horizontal100\model_horizontal_92\vectors.txt;2701;0.10961850649350649
26;models/model_horizontal100\model_horizontal_26\vectors.txt;2697;0.10945616883116883
27;models/model_horizontal100\model_horizontal_27\vectors.txt;2689;0.10913149350649351
42;models/model_horizontal100\model_horizontal_42\vectors.txt;2678;0.10868506493506494
17;models/model_horizontal100\model_horizontal_17\vectors.txt;2672;0.10844155844155844
13;models/model_horizontal100\model_horizontal_13\vectors.txt;2670;0.10836038961038962
74;models/model_horizontal100\model_horizontal_74\vectors.txt;2663;0.1080762987012987
37;models/model_horizontal100\model_horizontal_37\vectors.txt;2650;0.1075487012987013
20;models/model_horizontal100\model_horizontal_20\vectors.txt;2631;0.1067775974025974
75;models/model_horizontal100\model_horizontal_75\vectors.txt;2628;0.10665584415584416
38;models/model_horizontal100\model_horizontal_38\vectors.txt;2627;0.10661525974025975
41;models/model_horizontal100\model_horizontal_41\vectors.txt;2626;0.10657467532467532
76;models/model_horizontal100\model_horizontal_76\vectors.txt;2626;0.10657467532467532
35;models/model_horizontal100\model_horizontal_35\vectors.txt;2616;0.10616883116883116
64;models/model_horizontal100\model_horizontal_64\vectors.txt;2613;0.10604707792207792
18;models/model_horizontal100\model_horizontal_18\vectors.txt;2607;0.10580357142857143
59;models/model_horizontal100\model_horizontal_59\vectors.txt;2603;0.10564123376623377
32;models/model_horizontal100\model_horizontal_32\vectors.txt;2598;0.10543831168831169
43;models/model_horizontal100\model_horizontal_43\vectors.txt;2589;0.10507305194805194
7;models/model_horizontal100\model_horizontal_7\vectors.txt;2586;0.1049512987012987
62;models/model_horizontal100\model_horizontal_62\vectors.txt;2573;0.1044237012987013
60;models/model_horizontal100\model_horizontal_60\vectors.txt;2561;0.10393668831168831
15;models/model_horizontal100\model_horizontal_15\vectors.txt;2559;0.10385551948051948
56;models/model_horizontal100\model_horizontal_56\vectors.txt;2559;0.10385551948051948
53;models/model_horizontal100\model_horizontal_53\vectors.txt;2553;0.10361201298701299
5;models/model_horizontal100\model_horizontal_5\vectors.txt;2551;0.10353084415584415
25;models/model_horizontal100\model_horizontal_25\vectors.txt;2551;0.10353084415584415
