;file;count;share
39;models/model_horizontal100\model_horizontal_44\vectors.txt;353;0.10674327184759601
73;models/model_horizontal100\model_horizontal_75\vectors.txt;338;0.1022074387662534
38;models/model_horizontal100\model_horizontal_43\vectors.txt;336;0.10160266102207438
16;models/model_horizontal100\model_horizontal_23\vectors.txt;333;0.10069549440580587
37;models/model_horizontal100\model_horizontal_42\vectors.txt;329;0.09948593891744784
44;models/model_horizontal100\model_horizontal_49\vectors.txt;329;0.09948593891744784
55;models/model_horizontal100\model_horizontal_59\vectors.txt;327;0.09888116117326883
74;models/model_horizontal100\model_horizontal_76\vectors.txt;326;0.09857877230117931
58;models/model_horizontal100\model_horizontal_61\vectors.txt;324;0.0979739945570003
54;models/model_horizontal100\model_horizontal_58\vectors.txt;321;0.09706682794073178
27;models/model_horizontal100\model_horizontal_33\vectors.txt;321;0.09706682794073178
57;models/model_horizontal100\model_horizontal_60\vectors.txt;321;0.09706682794073178
41;models/model_horizontal100\model_horizontal_46\vectors.txt;318;0.09615966132446326
90;models/model_horizontal100\model_horizontal_90\vectors.txt;318;0.09615966132446326
7;models/model_horizontal100\model_horizontal_15\vectors.txt;315;0.09525249470819473
40;models/model_horizontal100\model_horizontal_45\vectors.txt;315;0.09525249470819473
48;models/model_horizontal100\model_horizontal_52\vectors.txt;314;0.09495010583610523
9;models/model_horizontal100\model_horizontal_17\vectors.txt;313;0.09464771696401572
18;models/model_horizontal100\model_horizontal_25\vectors.txt;312;0.09434532809192622
15;models/model_horizontal100\model_horizontal_22\vectors.txt;310;0.0937405503477472
20;models/model_horizontal100\model_horizontal_27\vectors.txt;310;0.0937405503477472
75;models/model_horizontal100\model_horizontal_77\vectors.txt;308;0.09313577260356819
66;models/model_horizontal100\model_horizontal_69\vectors.txt;307;0.09283338373147867
11;models/model_horizontal100\model_horizontal_19\vectors.txt;306;0.09253099485938918
95;models/model_horizontal100\model_horizontal_95\vectors.txt;306;0.09253099485938918
78;models/model_horizontal100\model_horizontal_8\vectors.txt;300;0.09071666162685213
67;models/model_horizontal100\model_horizontal_7\vectors.txt;299;0.09041427275476263
72;models/model_horizontal100\model_horizontal_74\vectors.txt;299;0.09041427275476263
17;models/model_horizontal100\model_horizontal_24\vectors.txt;297;0.0898094950105836
31;models/model_horizontal100\model_horizontal_37\vectors.txt;296;0.08950710613849411
5;models/model_horizontal100\model_horizontal_13\vectors.txt;296;0.08950710613849411
25;models/model_horizontal100\model_horizontal_31\vectors.txt;295;0.0892047172664046
10;models/model_horizontal100\model_horizontal_18\vectors.txt;293;0.08859993952222558
96;models/model_horizontal100\model_horizontal_96\vectors.txt;293;0.08859993952222558
83;models/model_horizontal100\model_horizontal_84\vectors.txt;293;0.08859993952222558
