;file;count;share
95;models/model_horizontal100\model_horizontal_95\vectors.txt;2595;0.11995007858001294
39;models/model_horizontal100\model_horizontal_44\vectors.txt;2588;0.11962651382083757
44;models/model_horizontal100\model_horizontal_49\vectors.txt;2546;0.11768512526578534
43;models/model_horizontal100\model_horizontal_48\vectors.txt;2535;0.11717666635850975
27;models/model_horizontal100\model_horizontal_33\vectors.txt;2526;0.11676065452528428
48;models/model_horizontal100\model_horizontal_52\vectors.txt;2498;0.11546639548858278
4;models/model_horizontal100\model_horizontal_12\vectors.txt;2492;0.11518905426643247
25;models/model_horizontal100\model_horizontal_31\vectors.txt;2456;0.11352500693353056
37;models/model_horizontal100\model_horizontal_42\vectors.txt;2454;0.11343255985948045
20;models/model_horizontal100\model_horizontal_27\vectors.txt;2449;0.11320144217435518
92;models/model_horizontal100\model_horizontal_92\vectors.txt;2426;0.11213830082277895
5;models/model_horizontal100\model_horizontal_13\vectors.txt;2426;0.11213830082277895
19;models/model_horizontal100\model_horizontal_26\vectors.txt;2424;0.11204585374872886
31;models/model_horizontal100\model_horizontal_37\vectors.txt;2405;0.11116760654525285
72;models/model_horizontal100\model_horizontal_74\vectors.txt;2405;0.11116760654525285
9;models/model_horizontal100\model_horizontal_17\vectors.txt;2403;0.11107515947120274
74;models/model_horizontal100\model_horizontal_76\vectors.txt;2385;0.11024313580475179
10;models/model_horizontal100\model_horizontal_18\vectors.txt;2370;0.10954978274937598
55;models/model_horizontal100\model_horizontal_59\vectors.txt;2369;0.10950355921235093
38;models/model_horizontal100\model_horizontal_43\vectors.txt;2368;0.10945733567532588
32;models/model_horizontal100\model_horizontal_38\vectors.txt;2363;0.10922621799020062
73;models/model_horizontal100\model_horizontal_75\vectors.txt;2362;0.10917999445317556
61;models/model_horizontal100\model_horizontal_64\vectors.txt;2351;0.10867153554589998
26;models/model_horizontal100\model_horizontal_32\vectors.txt;2343;0.10830174724969954
13;models/model_horizontal100\model_horizontal_20\vectors.txt;2343;0.10830174724969954
36;models/model_horizontal100\model_horizontal_41\vectors.txt;2339;0.10811685310159934
29;models/model_horizontal100\model_horizontal_35\vectors.txt;2339;0.10811685310159934
52;models/model_horizontal100\model_horizontal_56\vectors.txt;2316;0.10705371175002311
67;models/model_horizontal100\model_horizontal_7\vectors.txt;2316;0.10705371175002311
59;models/model_horizontal100\model_horizontal_62\vectors.txt;2308;0.10668392345382269
49;models/model_horizontal100\model_horizontal_53\vectors.txt;2307;0.10663769991679764
7;models/model_horizontal100\model_horizontal_15\vectors.txt;2304;0.10649902930572247
45;models/model_horizontal100\model_horizontal_5\vectors.txt;2301;0.10636035869464731
11;models/model_horizontal100\model_horizontal_19\vectors.txt;2293;0.10599057039844689
75;models/model_horizontal100\model_horizontal_77\vectors.txt;2290;0.10585189978737174
57;models/model_horizontal100\model_horizontal_60\vectors.txt;2288;0.10575945271332163
18;models/model_horizontal100\model_horizontal_25\vectors.txt;2284;0.10557455856522141
41;models/model_horizontal100\model_horizontal_46\vectors.txt;2264;0.10465008782472035
96;models/model_horizontal100\model_horizontal_96\vectors.txt;2264;0.10465008782472035
40;models/model_horizontal100\model_horizontal_45\vectors.txt;2257;0.10432652306554498
80;models/model_horizontal100\model_horizontal_81\vectors.txt;2253;0.10414162891744476
16;models/model_horizontal100\model_horizontal_23\vectors.txt;2244;0.10372561708421929
33;models/model_horizontal100\model_horizontal_39\vectors.txt;2238;0.10344827586206896
89;models/model_horizontal100\model_horizontal_9\vectors.txt;2234;0.10326338171396875
54;models/model_horizontal100\model_horizontal_58\vectors.txt;2233;0.1032171581769437
90;models/model_horizontal100\model_horizontal_90\vectors.txt;2228;0.10298604049181843
51;models/model_horizontal100\model_horizontal_55\vectors.txt;2204;0.10187667560321716
3;models/model_horizontal100\model_horizontal_11\vectors.txt;2203;0.10183045206619211
8;models/model_horizontal100\model_horizontal_16\vectors.txt;2201;0.101738004992142
17;models/model_horizontal100\model_horizontal_24\vectors.txt;2198;0.10159933438106684
77;models/model_horizontal100\model_horizontal_79\vectors.txt;2196;0.10150688730701674
58;models/model_horizontal100\model_horizontal_61\vectors.txt;2191;0.10127576962189147
2;models/model_horizontal100\model_horizontal_10\vectors.txt;2189;0.10118332254784136
