;file;count;share
34;models/model_horizontal100\model_horizontal_4\vectors.txt;177;0.44139650872817954
61;models/model_horizontal100\model_horizontal_64\vectors.txt;165;0.4114713216957606
36;models/model_horizontal100\model_horizontal_41\vectors.txt;163;0.40648379052369077
3;models/model_horizontal100\model_horizontal_11\vectors.txt;160;0.39900249376558605
2;models/model_horizontal100\model_horizontal_10\vectors.txt;159;0.39650872817955113
13;models/model_horizontal100\model_horizontal_20\vectors.txt;158;0.3940149625935162
92;models/model_horizontal100\model_horizontal_92\vectors.txt;155;0.3865336658354115
45;models/model_horizontal100\model_horizontal_5\vectors.txt;153;0.38154613466334164
70;models/model_horizontal100\model_horizontal_72\vectors.txt;153;0.38154613466334164
60;models/model_horizontal100\model_horizontal_63\vectors.txt;153;0.38154613466334164
59;models/model_horizontal100\model_horizontal_62\vectors.txt;152;0.3790523690773067
57;models/model_horizontal100\model_horizontal_60\vectors.txt;150;0.3740648379052369
19;models/model_horizontal100\model_horizontal_26\vectors.txt;150;0.3740648379052369
9;models/model_horizontal100\model_horizontal_17\vectors.txt;150;0.3740648379052369
96;models/model_horizontal100\model_horizontal_96\vectors.txt;150;0.3740648379052369
89;models/model_horizontal100\model_horizontal_9\vectors.txt;149;0.371571072319202
64;models/model_horizontal100\model_horizontal_67\vectors.txt;149;0.371571072319202
8;models/model_horizontal100\model_horizontal_16\vectors.txt;148;0.3690773067331671
29;models/model_horizontal100\model_horizontal_35\vectors.txt;148;0.3690773067331671
80;models/model_horizontal100\model_horizontal_81\vectors.txt;148;0.3690773067331671
85;models/model_horizontal100\model_horizontal_86\vectors.txt;148;0.3690773067331671
63;models/model_horizontal100\model_horizontal_66\vectors.txt;148;0.3690773067331671
32;models/model_horizontal100\model_horizontal_38\vectors.txt;147;0.36658354114713215
65;models/model_horizontal100\model_horizontal_68\vectors.txt;147;0.36658354114713215
81;models/model_horizontal100\model_horizontal_82\vectors.txt;146;0.3640897755610973
14;models/model_horizontal100\model_horizontal_21\vectors.txt;146;0.3640897755610973
21;models/model_horizontal100\model_horizontal_28\vectors.txt;145;0.36159600997506236
76;models/model_horizontal100\model_horizontal_78\vectors.txt;144;0.35910224438902744
82;models/model_horizontal100\model_horizontal_83\vectors.txt;144;0.35910224438902744
33;models/model_horizontal100\model_horizontal_39\vectors.txt;144;0.35910224438902744
98;models/model_horizontal100\model_horizontal_98\vectors.txt;143;0.3566084788029925
66;models/model_horizontal100\model_horizontal_69\vectors.txt;143;0.3566084788029925
79;models/model_horizontal100\model_horizontal_80\vectors.txt;143;0.3566084788029925
71;models/model_horizontal100\model_horizontal_73\vectors.txt;143;0.3566084788029925
72;models/model_horizontal100\model_horizontal_74\vectors.txt;143;0.3566084788029925
77;models/model_horizontal100\model_horizontal_79\vectors.txt;142;0.3541147132169576
20;models/model_horizontal100\model_horizontal_27\vectors.txt;141;0.3516209476309227
68;models/model_horizontal100\model_horizontal_70\vectors.txt;141;0.3516209476309227
47;models/model_horizontal100\model_horizontal_51\vectors.txt;141;0.3516209476309227
4;models/model_horizontal100\model_horizontal_12\vectors.txt;141;0.3516209476309227
22;models/model_horizontal100\model_horizontal_29\vectors.txt;141;0.3516209476309227
67;models/model_horizontal100\model_horizontal_7\vectors.txt;141;0.3516209476309227
52;models/model_horizontal100\model_horizontal_56\vectors.txt;140;0.3491271820448878
7;models/model_horizontal100\model_horizontal_15\vectors.txt;140;0.3491271820448878
84;models/model_horizontal100\model_horizontal_85\vectors.txt;140;0.3491271820448878
31;models/model_horizontal100\model_horizontal_37\vectors.txt;140;0.3491271820448878
6;models/model_horizontal100\model_horizontal_14\vectors.txt;140;0.3491271820448878
18;models/model_horizontal100\model_horizontal_25\vectors.txt;140;0.3491271820448878
11;models/model_horizontal100\model_horizontal_19\vectors.txt;139;0.34663341645885287
73;models/model_horizontal100\model_horizontal_75\vectors.txt;139;0.34663341645885287
