;file;count;share
88;models/model_horizontal100\model_horizontal_88\vectors.txt;154;0.3719806763285024
87;models/model_horizontal100\model_horizontal_87\vectors.txt;149;0.35990338164251207
89;models/model_horizontal100\model_horizontal_89\vectors.txt;142;0.34299516908212563
35;models/model_horizontal100\model_horizontal_35\vectors.txt;130;0.3140096618357488
75;models/model_horizontal100\model_horizontal_75\vectors.txt;128;0.30917874396135264
25;models/model_horizontal100\model_horizontal_25\vectors.txt;125;0.30193236714975846
82;models/model_horizontal100\model_horizontal_82\vectors.txt;125;0.30193236714975846
7;models/model_horizontal100\model_horizontal_7\vectors.txt;125;0.30193236714975846
20;models/model_horizontal100\model_horizontal_20\vectors.txt;125;0.30193236714975846
40;models/model_horizontal100\model_horizontal_40\vectors.txt;122;0.2946859903381642
3;models/model_horizontal100\model_horizontal_3\vectors.txt;122;0.2946859903381642
95;models/model_horizontal100\model_horizontal_95\vectors.txt;120;0.2898550724637681
83;models/model_horizontal100\model_horizontal_83\vectors.txt;120;0.2898550724637681
76;models/model_horizontal100\model_horizontal_76\vectors.txt;120;0.2898550724637681
60;models/model_horizontal100\model_horizontal_60\vectors.txt;120;0.2898550724637681
68;models/model_horizontal100\model_horizontal_68\vectors.txt;118;0.28502415458937197
52;models/model_horizontal100\model_horizontal_52\vectors.txt;118;0.28502415458937197
31;models/model_horizontal100\model_horizontal_31\vectors.txt;117;0.2826086956521739
23;models/model_horizontal100\model_horizontal_23\vectors.txt;117;0.2826086956521739
91;models/model_horizontal100\model_horizontal_91\vectors.txt;117;0.2826086956521739
84;models/model_horizontal100\model_horizontal_84\vectors.txt;116;0.28019323671497587
14;models/model_horizontal100\model_horizontal_14\vectors.txt;116;0.28019323671497587
55;models/model_horizontal100\model_horizontal_55\vectors.txt;115;0.2777777777777778
41;models/model_horizontal100\model_horizontal_41\vectors.txt;115;0.2777777777777778
97;models/model_horizontal100\model_horizontal_97\vectors.txt;115;0.2777777777777778
17;models/model_horizontal100\model_horizontal_17\vectors.txt;115;0.2777777777777778
32;models/model_horizontal100\model_horizontal_32\vectors.txt;114;0.2753623188405797
92;models/model_horizontal100\model_horizontal_92\vectors.txt;114;0.2753623188405797
9;models/model_horizontal100\model_horizontal_9\vectors.txt;114;0.2753623188405797
26;models/model_horizontal100\model_horizontal_26\vectors.txt;114;0.2753623188405797
96;models/model_horizontal100\model_horizontal_96\vectors.txt;113;0.27294685990338163
80;models/model_horizontal100\model_horizontal_80\vectors.txt;112;0.27053140096618356
39;models/model_horizontal100\model_horizontal_39\vectors.txt;112;0.27053140096618356
81;models/model_horizontal100\model_horizontal_81\vectors.txt;111;0.26811594202898553
74;models/model_horizontal100\model_horizontal_74\vectors.txt;111;0.26811594202898553
44;models/model_horizontal100\model_horizontal_44\vectors.txt;110;0.26570048309178745
53;models/model_horizontal100\model_horizontal_53\vectors.txt;110;0.26570048309178745
15;models/model_horizontal100\model_horizontal_15\vectors.txt;110;0.26570048309178745
66;models/model_horizontal100\model_horizontal_66\vectors.txt;110;0.26570048309178745
85;models/model_horizontal100\model_horizontal_85\vectors.txt;110;0.26570048309178745
21;models/model_horizontal100\model_horizontal_21\vectors.txt;110;0.26570048309178745
30;models/model_horizontal100\model_horizontal_30\vectors.txt;109;0.2632850241545894
71;models/model_horizontal100\model_horizontal_71\vectors.txt;109;0.2632850241545894
38;models/model_horizontal100\model_horizontal_38\vectors.txt;109;0.2632850241545894
72;models/model_horizontal100\model_horizontal_72\vectors.txt;109;0.2632850241545894
65;models/model_horizontal100\model_horizontal_65\vectors.txt;108;0.2608695652173913
28;models/model_horizontal100\model_horizontal_28\vectors.txt;108;0.2608695652173913
19;models/model_horizontal100\model_horizontal_19\vectors.txt;107;0.2584541062801932
37;models/model_horizontal100\model_horizontal_37\vectors.txt;106;0.2560386473429952
63;models/model_horizontal100\model_horizontal_63\vectors.txt;106;0.2560386473429952
62;models/model_horizontal100\model_horizontal_62\vectors.txt;106;0.2560386473429952
90;models/model_horizontal100\model_horizontal_90\vectors.txt;106;0.2560386473429952
67;models/model_horizontal100\model_horizontal_67\vectors.txt;105;0.2536231884057971
13;models/model_horizontal100\model_horizontal_13\vectors.txt;105;0.2536231884057971
59;models/model_horizontal100\model_horizontal_59\vectors.txt;104;0.25120772946859904
11;models/model_horizontal100\model_horizontal_11\vectors.txt;103;0.24879227053140096
61;models/model_horizontal100\model_horizontal_61\vectors.txt;103;0.24879227053140096
86;models/model_horizontal100\model_horizontal_86\vectors.txt;102;0.2463768115942029
16;models/model_horizontal100\model_horizontal_16\vectors.txt;102;0.2463768115942029
22;models/model_horizontal100\model_horizontal_22\vectors.txt;101;0.24396135265700483
70;models/model_horizontal100\model_horizontal_70\vectors.txt;101;0.24396135265700483
73;models/model_horizontal100\model_horizontal_73\vectors.txt;100;0.24154589371980675
12;models/model_horizontal100\model_horizontal_12\vectors.txt;99;0.2391304347826087
56;models/model_horizontal100\model_horizontal_56\vectors.txt;99;0.2391304347826087
49;models/model_horizontal100\model_horizontal_49\vectors.txt;98;0.23671497584541062
24;models/model_horizontal100\model_horizontal_24\vectors.txt;97;0.23429951690821257
18;models/model_horizontal100\model_horizontal_18\vectors.txt;97;0.23429951690821257
77;models/model_horizontal100\model_horizontal_77\vectors.txt;97;0.23429951690821257
4;models/model_horizontal100\model_horizontal_4\vectors.txt;97;0.23429951690821257
34;models/model_horizontal100\model_horizontal_34\vectors.txt;97;0.23429951690821257
27;models/model_horizontal100\model_horizontal_27\vectors.txt;96;0.2318840579710145
69;models/model_horizontal100\model_horizontal_69\vectors.txt;94;0.22705314009661837
5;models/model_horizontal100\model_horizontal_5\vectors.txt;94;0.22705314009661837
54;models/model_horizontal100\model_horizontal_54\vectors.txt;92;0.2222222222222222
64;models/model_horizontal100\model_horizontal_64\vectors.txt;92;0.2222222222222222
33;models/model_horizontal100\model_horizontal_33\vectors.txt;92;0.2222222222222222
50;models/model_horizontal100\model_horizontal_50\vectors.txt;92;0.2222222222222222
42;models/model_horizontal100\model_horizontal_42\vectors.txt;92;0.2222222222222222
10;models/model_horizontal100\model_horizontal_10\vectors.txt;91;0.21980676328502416
29;models/model_horizontal100\model_horizontal_29\vectors.txt;89;0.21497584541062803
43;models/model_horizontal100\model_horizontal_43\vectors.txt;88;0.21256038647342995
36;models/model_horizontal100\model_horizontal_36\vectors.txt;88;0.21256038647342995
8;models/model_horizontal100\model_horizontal_8\vectors.txt;87;0.21014492753623187
47;models/model_horizontal100\model_horizontal_47\vectors.txt;87;0.21014492753623187
45;models/model_horizontal100\model_horizontal_45\vectors.txt;84;0.2028985507246377
51;models/model_horizontal100\model_horizontal_51\vectors.txt;84;0.2028985507246377
78;models/model_horizontal100\model_horizontal_78\vectors.txt;84;0.2028985507246377
46;models/model_horizontal100\model_horizontal_46\vectors.txt;83;0.20048309178743962
98;models/model_horizontal100\model_horizontal_98\vectors.txt;83;0.20048309178743962
94;models/model_horizontal100\model_horizontal_94\vectors.txt;83;0.20048309178743962
58;models/model_horizontal100\model_horizontal_58\vectors.txt;82;0.19806763285024154
93;models/model_horizontal100\model_horizontal_93\vectors.txt;82;0.19806763285024154
57;models/model_horizontal100\model_horizontal_57\vectors.txt;79;0.19082125603864733
79;models/model_horizontal100\model_horizontal_79\vectors.txt;78;0.18840579710144928
6;models/model_horizontal100\model_horizontal_6\vectors.txt;77;0.1859903381642512
