;file;count;share
61;models/model_horizontal100\model_horizontal_64\vectors.txt;311;0.8567493112947658
59;models/model_horizontal100\model_horizontal_62\vectors.txt;306;0.8429752066115702
82;models/model_horizontal100\model_horizontal_83\vectors.txt;306;0.8429752066115702
22;models/model_horizontal100\model_horizontal_29\vectors.txt;305;0.8402203856749312
36;models/model_horizontal100\model_horizontal_41\vectors.txt;305;0.8402203856749312
92;models/model_horizontal100\model_horizontal_92\vectors.txt;305;0.8402203856749312
64;models/model_horizontal100\model_horizontal_67\vectors.txt;304;0.837465564738292
53;models/model_horizontal100\model_horizontal_57\vectors.txt;303;0.8347107438016529
67;models/model_horizontal100\model_horizontal_7\vectors.txt;303;0.8347107438016529
32;models/model_horizontal100\model_horizontal_38\vectors.txt;302;0.8319559228650137
89;models/model_horizontal100\model_horizontal_9\vectors.txt;300;0.8264462809917356
19;models/model_horizontal100\model_horizontal_26\vectors.txt;300;0.8264462809917356
57;models/model_horizontal100\model_horizontal_60\vectors.txt;300;0.8264462809917356
60;models/model_horizontal100\model_horizontal_63\vectors.txt;300;0.8264462809917356
52;models/model_horizontal100\model_horizontal_56\vectors.txt;299;0.8236914600550964
77;models/model_horizontal100\model_horizontal_79\vectors.txt;299;0.8236914600550964
79;models/model_horizontal100\model_horizontal_80\vectors.txt;299;0.8236914600550964
34;models/model_horizontal100\model_horizontal_4\vectors.txt;299;0.8236914600550964
65;models/model_horizontal100\model_horizontal_68\vectors.txt;298;0.8209366391184573
17;models/model_horizontal100\model_horizontal_24\vectors.txt;298;0.8209366391184573
3;models/model_horizontal100\model_horizontal_11\vectors.txt;298;0.8209366391184573
20;models/model_horizontal100\model_horizontal_27\vectors.txt;297;0.8181818181818182
2;models/model_horizontal100\model_horizontal_10\vectors.txt;297;0.8181818181818182
24;models/model_horizontal100\model_horizontal_30\vectors.txt;297;0.8181818181818182
75;models/model_horizontal100\model_horizontal_77\vectors.txt;296;0.8154269972451791
48;models/model_horizontal100\model_horizontal_52\vectors.txt;296;0.8154269972451791
13;models/model_horizontal100\model_horizontal_20\vectors.txt;296;0.8154269972451791
18;models/model_horizontal100\model_horizontal_25\vectors.txt;296;0.8154269972451791
