;file;count;share
8;models/model_horizontal\model_horizontal_8\vectors.txt;579;0.17508315693982462
1;models/model_horizontal\model_horizontal_1\vectors.txt;551;0.16661626852131842
4;models/model_horizontal\model_horizontal_4\vectors.txt;550;0.16631387964922892
6;models/model_horizontal\model_horizontal_6\vectors.txt;536;0.1620804354399758
3;models/model_horizontal\model_horizontal_3\vectors.txt;535;0.1617780465678863
2;models/model_horizontal\model_horizontal_2\vectors.txt;530;0.16026610220743875
9;models/model_horizontal\model_horizontal_9\vectors.txt;526;0.15905654671908073
7;models/model_horizontal\model_horizontal_7\vectors.txt;520;0.15724221348654369
5;models/model_horizontal\model_horizontal_5\vectors.txt;517;0.15633504687027516
0;models/model_horizontal\model_horizontal_0\vectors.txt;465;0.1406108255216208
