;file;count;share
1;models/model_horizontal\model_horizontal_1\vectors.txt;7587;0.3506979754090783
3;models/model_horizontal\model_horizontal_3\vectors.txt;7529;0.34801701026162524
0;models/model_horizontal\model_horizontal_0\vectors.txt;7353;0.3398816677452159
4;models/model_horizontal\model_horizontal_4\vectors.txt;7065;0.32656928908200056
2;models/model_horizontal\model_horizontal_2\vectors.txt;7004;0.32374965332347233
6;models/model_horizontal\model_horizontal_6\vectors.txt;6938;0.3206988998798188
5;models/model_horizontal\model_horizontal_5\vectors.txt;6811;0.31482851067763706
9;models/model_horizontal\model_horizontal_9\vectors.txt;6723;0.3107608394194324
7;models/model_horizontal\model_horizontal_7\vectors.txt;6682;0.3088656744014052
8;models/model_horizontal\model_horizontal_8\vectors.txt;6678;0.308680780253305
