;file;count;share
1;models/model_horizontal\model_horizontal_1\vectors.txt;270;0.6733167082294265
2;models/model_horizontal\model_horizontal_2\vectors.txt;265;0.6608478802992519
0;models/model_horizontal\model_horizontal_0\vectors.txt;264;0.6583541147132169
7;models/model_horizontal\model_horizontal_7\vectors.txt;264;0.6583541147132169
6;models/model_horizontal\model_horizontal_6\vectors.txt;263;0.655860349127182
3;models/model_horizontal\model_horizontal_3\vectors.txt;261;0.6508728179551122
8;models/model_horizontal\model_horizontal_8\vectors.txt;261;0.6508728179551122
9;models/model_horizontal\model_horizontal_9\vectors.txt;255;0.6359102244389028
5;models/model_horizontal\model_horizontal_5\vectors.txt;250;0.6234413965087282
4;models/model_horizontal\model_horizontal_4\vectors.txt;249;0.6209476309226932
