;file;count;share
8;models/model_horizontal\model_horizontal_8\vectors.txt;264;0.6376811594202898
3;models/model_horizontal\model_horizontal_3\vectors.txt;258;0.6231884057971014
2;models/model_horizontal\model_horizontal_2\vectors.txt;246;0.5942028985507246
7;models/model_horizontal\model_horizontal_7\vectors.txt;246;0.5942028985507246
6;models/model_horizontal\model_horizontal_6\vectors.txt;243;0.5869565217391305
9;models/model_horizontal\model_horizontal_9\vectors.txt;240;0.5797101449275363
5;models/model_horizontal\model_horizontal_5\vectors.txt;237;0.572463768115942
1;models/model_horizontal\model_horizontal_1\vectors.txt;235;0.5676328502415459
4;models/model_horizontal\model_horizontal_4\vectors.txt;231;0.5579710144927537
0;models/model_horizontal\model_horizontal_0\vectors.txt;224;0.5410628019323671
