;file;count;share
8;models/model_horizontal\model_horizontal_8\vectors.txt;337;0.928374655647383
2;models/model_horizontal\model_horizontal_2\vectors.txt;332;0.9146005509641874
3;models/model_horizontal\model_horizontal_3\vectors.txt;331;0.9118457300275482
5;models/model_horizontal\model_horizontal_5\vectors.txt;328;0.9035812672176309
7;models/model_horizontal\model_horizontal_7\vectors.txt;328;0.9035812672176309
9;models/model_horizontal\model_horizontal_9\vectors.txt;327;0.9008264462809917
1;models/model_horizontal\model_horizontal_1\vectors.txt;326;0.8980716253443526
6;models/model_horizontal\model_horizontal_6\vectors.txt;326;0.8980716253443526
0;models/model_horizontal\model_horizontal_0\vectors.txt;323;0.8898071625344353
4;models/model_horizontal\model_horizontal_4\vectors.txt;319;0.8787878787878788
