;file;count;share
3;models/model_minedgecut\model_minedgecut_3\vectors.txt;8031;0.3293147988682495
1;models/model_minedgecut\model_minedgecut_1\vectors.txt;7983;0.3273465370894329
0;models/model_minedgecut\model_minedgecut_0\vectors.txt;7887;0.3234100135317997
5;models/model_minedgecut\model_minedgecut_5\vectors.txt;7674;0.31467585188830116
6;models/model_minedgecut\model_minedgecut_6\vectors.txt;7557;0.30987821380243574
4;models/model_minedgecut\model_minedgecut_4\vectors.txt;7544;0.3093451429040062
2;models/model_minedgecut\model_minedgecut_2\vectors.txt;7318;0.30007791036207815
7;models/model_minedgecut\model_minedgecut_7\vectors.txt;7193;0.29495222864640996
9;models/model_minedgecut\model_minedgecut_9\vectors.txt;6889;0.2824865707139049
8;models/model_minedgecut\model_minedgecut_8\vectors.txt;6289;0.2578832984786977
