;file;count;share
73;models/model_minedgecut100\model_minedgecut_73\vectors.txt;3292;0.1336038961038961
65;models/model_minedgecut100\model_minedgecut_65\vectors.txt;3245;0.13169642857142858
68;models/model_minedgecut100\model_minedgecut_68\vectors.txt;3214;0.1304383116883117
69;models/model_minedgecut100\model_minedgecut_69\vectors.txt;3185;0.12926136363636365
74;models/model_minedgecut100\model_minedgecut_74\vectors.txt;3133;0.12715097402597403
72;models/model_minedgecut100\model_minedgecut_72\vectors.txt;3128;0.12694805194805195
66;models/model_minedgecut100\model_minedgecut_66\vectors.txt;3079;0.12495941558441559
67;models/model_minedgecut100\model_minedgecut_67\vectors.txt;3075;0.12479707792207792
64;models/model_minedgecut100\model_minedgecut_64\vectors.txt;3052;0.12386363636363637
53;models/model_minedgecut100\model_minedgecut_53\vectors.txt;2991;0.12138798701298702
25;models/model_minedgecut100\model_minedgecut_25\vectors.txt;2990;0.12134740259740259
71;models/model_minedgecut100\model_minedgecut_71\vectors.txt;2989;0.12130681818181818
70;models/model_minedgecut100\model_minedgecut_70\vectors.txt;2967;0.12041396103896104
9;models/model_minedgecut100\model_minedgecut_9\vectors.txt;2928;0.11883116883116883
55;models/model_minedgecut100\model_minedgecut_55\vectors.txt;2920;0.1185064935064935
63;models/model_minedgecut100\model_minedgecut_63\vectors.txt;2907;0.1179788961038961
60;models/model_minedgecut100\model_minedgecut_60\vectors.txt;2880;0.11688311688311688
83;models/model_minedgecut100\model_minedgecut_83\vectors.txt;2872;0.11655844155844156
6;models/model_minedgecut100\model_minedgecut_6\vectors.txt;2871;0.11651785714285715
54;models/model_minedgecut100\model_minedgecut_54\vectors.txt;2864;0.11623376623376623
85;models/model_minedgecut100\model_minedgecut_85\vectors.txt;2854;0.11582792207792207
58;models/model_minedgecut100\model_minedgecut_58\vectors.txt;2849;0.115625
62;models/model_minedgecut100\model_minedgecut_62\vectors.txt;2847;0.11554383116883117
97;models/model_minedgecut100\model_minedgecut_97\vectors.txt;2843;0.1153814935064935
92;models/model_minedgecut100\model_minedgecut_92\vectors.txt;2843;0.1153814935064935
81;models/model_minedgecut100\model_minedgecut_81\vectors.txt;2837;0.11513798701298701
86;models/model_minedgecut100\model_minedgecut_86\vectors.txt;2836;0.1150974025974026
50;models/model_minedgecut100\model_minedgecut_50\vectors.txt;2833;0.11497564935064936
82;models/model_minedgecut100\model_minedgecut_82\vectors.txt;2831;0.11489448051948052
91;models/model_minedgecut100\model_minedgecut_91\vectors.txt;2830;0.1148538961038961
59;models/model_minedgecut100\model_minedgecut_59\vectors.txt;2830;0.1148538961038961
90;models/model_minedgecut100\model_minedgecut_90\vectors.txt;2825;0.11465097402597403
94;models/model_minedgecut100\model_minedgecut_94\vectors.txt;2824;0.1146103896103896
78;models/model_minedgecut100\model_minedgecut_78\vectors.txt;2823;0.1145698051948052
0;models/model_minedgecut100\model_minedgecut_0\vectors.txt;2811;0.1140827922077922
5;models/model_minedgecut100\model_minedgecut_5\vectors.txt;2801;0.11367694805194806
28;models/model_minedgecut100\model_minedgecut_28\vectors.txt;2799;0.11359577922077922
84;models/model_minedgecut100\model_minedgecut_84\vectors.txt;2797;0.11351461038961039
98;models/model_minedgecut100\model_minedgecut_98\vectors.txt;2793;0.11335227272727273
89;models/model_minedgecut100\model_minedgecut_89\vectors.txt;2793;0.11335227272727273
