;file;count;share
68;models/model_minedgecut100\model_minedgecut_68\vectors.txt;340;0.10281221651043242
31;models/model_minedgecut100\model_minedgecut_31\vectors.txt;339;0.1025098276383429
66;models/model_minedgecut100\model_minedgecut_66\vectors.txt;338;0.1022074387662534
55;models/model_minedgecut100\model_minedgecut_55\vectors.txt;337;0.1019050498941639
71;models/model_minedgecut100\model_minedgecut_71\vectors.txt;337;0.1019050498941639
90;models/model_minedgecut100\model_minedgecut_90\vectors.txt;332;0.10039310553371636
51;models/model_minedgecut100\model_minedgecut_51\vectors.txt;332;0.10039310553371636
63;models/model_minedgecut100\model_minedgecut_63\vectors.txt;330;0.09978832778953735
72;models/model_minedgecut100\model_minedgecut_72\vectors.txt;330;0.09978832778953735
69;models/model_minedgecut100\model_minedgecut_69\vectors.txt;329;0.09948593891744784
64;models/model_minedgecut100\model_minedgecut_64\vectors.txt;328;0.09918355004535834
74;models/model_minedgecut100\model_minedgecut_74\vectors.txt;327;0.09888116117326883
95;models/model_minedgecut100\model_minedgecut_95\vectors.txt;325;0.09827638342908981
85;models/model_minedgecut100\model_minedgecut_85\vectors.txt;324;0.0979739945570003
73;models/model_minedgecut100\model_minedgecut_73\vectors.txt;324;0.0979739945570003
70;models/model_minedgecut100\model_minedgecut_70\vectors.txt;324;0.0979739945570003
36;models/model_minedgecut100\model_minedgecut_36\vectors.txt;323;0.09767160568491079
97;models/model_minedgecut100\model_minedgecut_97\vectors.txt;323;0.09767160568491079
65;models/model_minedgecut100\model_minedgecut_65\vectors.txt;322;0.09736921681282129
35;models/model_minedgecut100\model_minedgecut_35\vectors.txt;320;0.09676443906864228
54;models/model_minedgecut100\model_minedgecut_54\vectors.txt;320;0.09676443906864228
86;models/model_minedgecut100\model_minedgecut_86\vectors.txt;319;0.09646205019655277
25;models/model_minedgecut100\model_minedgecut_25\vectors.txt;316;0.09555488358028424
83;models/model_minedgecut100\model_minedgecut_83\vectors.txt;316;0.09555488358028424
82;models/model_minedgecut100\model_minedgecut_82\vectors.txt;314;0.09495010583610523
98;models/model_minedgecut100\model_minedgecut_98\vectors.txt;313;0.09464771696401572
33;models/model_minedgecut100\model_minedgecut_33\vectors.txt;312;0.09434532809192622
67;models/model_minedgecut100\model_minedgecut_67\vectors.txt;312;0.09434532809192622
