;file;count;share
73;models/model_minedgecut100\model_minedgecut_73\vectors.txt;3047;0.14084311731533697
65;models/model_minedgecut100\model_minedgecut_65\vectors.txt;2977;0.13760746972358326
68;models/model_minedgecut100\model_minedgecut_68\vectors.txt;2929;0.1353887399463807
69;models/model_minedgecut100\model_minedgecut_69\vectors.txt;2923;0.1351113987242304
74;models/model_minedgecut100\model_minedgecut_74\vectors.txt;2863;0.13233798650272718
72;models/model_minedgecut100\model_minedgecut_72\vectors.txt;2856;0.13201442174355182
66;models/model_minedgecut100\model_minedgecut_66\vectors.txt;2797;0.1292872330590737
67;models/model_minedgecut100\model_minedgecut_67\vectors.txt;2792;0.12905611537394843
64;models/model_minedgecut100\model_minedgecut_64\vectors.txt;2756;0.1273920680410465
25;models/model_minedgecut100\model_minedgecut_25\vectors.txt;2725;0.12595913839326986
71;models/model_minedgecut100\model_minedgecut_71\vectors.txt;2712;0.12535823241194416
70;models/model_minedgecut100\model_minedgecut_70\vectors.txt;2689;0.12429509106036794
53;models/model_minedgecut100\model_minedgecut_53\vectors.txt;2689;0.12429509106036794
9;models/model_minedgecut100\model_minedgecut_9\vectors.txt;2652;0.12258482019044097
63;models/model_minedgecut100\model_minedgecut_63\vectors.txt;2642;0.12212258482019044
55;models/model_minedgecut100\model_minedgecut_55\vectors.txt;2638;0.12193769067209023
6;models/model_minedgecut100\model_minedgecut_6\vectors.txt;2609;0.12059720809836369
60;models/model_minedgecut100\model_minedgecut_60\vectors.txt;2603;0.12031986687621336
54;models/model_minedgecut100\model_minedgecut_54\vectors.txt;2598;0.1200887491910881
83;models/model_minedgecut100\model_minedgecut_83\vectors.txt;2590;0.11971896089488768
85;models/model_minedgecut100\model_minedgecut_85\vectors.txt;2588;0.11962651382083757
58;models/model_minedgecut100\model_minedgecut_58\vectors.txt;2579;0.11921050198761209
86;models/model_minedgecut100\model_minedgecut_86\vectors.txt;2577;0.11911805491356199
82;models/model_minedgecut100\model_minedgecut_82\vectors.txt;2575;0.11902560783951188
81;models/model_minedgecut100\model_minedgecut_81\vectors.txt;2573;0.11893316076546177
62;models/model_minedgecut100\model_minedgecut_62\vectors.txt;2561;0.11837847832116113
97;models/model_minedgecut100\model_minedgecut_97\vectors.txt;2559;0.11828603124711103
59;models/model_minedgecut100\model_minedgecut_59\vectors.txt;2559;0.11828603124711103
0;models/model_minedgecut100\model_minedgecut_0\vectors.txt;2551;0.1179162429509106
50;models/model_minedgecut100\model_minedgecut_50\vectors.txt;2547;0.11773134880281039
78;models/model_minedgecut100\model_minedgecut_78\vectors.txt;2540;0.11740778404363501
91;models/model_minedgecut100\model_minedgecut_91\vectors.txt;2537;0.11726911343255986
28;models/model_minedgecut100\model_minedgecut_28\vectors.txt;2536;0.11722288989553481
92;models/model_minedgecut100\model_minedgecut_92\vectors.txt;2535;0.11717666635850975
34;models/model_minedgecut100\model_minedgecut_34\vectors.txt;2532;0.11703799574743459
84;models/model_minedgecut100\model_minedgecut_84\vectors.txt;2523;0.11662198391420911
90;models/model_minedgecut100\model_minedgecut_90\vectors.txt;2521;0.11652953684015901
51;models/model_minedgecut100\model_minedgecut_51\vectors.txt;2521;0.11652953684015901
5;models/model_minedgecut100\model_minedgecut_5\vectors.txt;2517;0.1163446426920588
94;models/model_minedgecut100\model_minedgecut_94\vectors.txt;2514;0.11620597208098364
89;models/model_minedgecut100\model_minedgecut_89\vectors.txt;2512;0.11611352500693353
79;models/model_minedgecut100\model_minedgecut_79\vectors.txt;2496;0.11537394841453268
98;models/model_minedgecut100\model_minedgecut_98\vectors.txt;2493;0.11523527780345752
56;models/model_minedgecut100\model_minedgecut_56\vectors.txt;2487;0.11495793658130721
93;models/model_minedgecut100\model_minedgecut_93\vectors.txt;2485;0.1148654895072571
57;models/model_minedgecut100\model_minedgecut_57\vectors.txt;2476;0.11444947767403162
75;models/model_minedgecut100\model_minedgecut_75\vectors.txt;2476;0.11444947767403162
27;models/model_minedgecut100\model_minedgecut_27\vectors.txt;2473;0.11431080706295646
1;models/model_minedgecut100\model_minedgecut_1\vectors.txt;2471;0.11421835998890635
76;models/model_minedgecut100\model_minedgecut_76\vectors.txt;2471;0.11421835998890635
3;models/model_minedgecut100\model_minedgecut_3\vectors.txt;2469;0.11412591291485624
95;models/model_minedgecut100\model_minedgecut_95\vectors.txt;2467;0.11403346584080613
96;models/model_minedgecut100\model_minedgecut_96\vectors.txt;2457;0.1135712304705556
88;models/model_minedgecut100\model_minedgecut_88\vectors.txt;2457;0.1135712304705556
7;models/model_minedgecut100\model_minedgecut_7\vectors.txt;2449;0.11320144217435518
10;models/model_minedgecut100\model_minedgecut_10\vectors.txt;2448;0.11315521863733013
4;models/model_minedgecut100\model_minedgecut_4\vectors.txt;2445;0.11301654802625496
77;models/model_minedgecut100\model_minedgecut_77\vectors.txt;2433;0.11246186558195433
42;models/model_minedgecut100\model_minedgecut_42\vectors.txt;2430;0.11232319497087917
61;models/model_minedgecut100\model_minedgecut_61\vectors.txt;2427;0.11218452435980401
31;models/model_minedgecut100\model_minedgecut_31\vectors.txt;2427;0.11218452435980401
26;models/model_minedgecut100\model_minedgecut_26\vectors.txt;2425;0.1120920772857539
