;file;count;share
53;models/model_minedgecut100\model_minedgecut_53\vectors.txt;170;0.4239401496259352
5;models/model_minedgecut100\model_minedgecut_5\vectors.txt;170;0.4239401496259352
61;models/model_minedgecut100\model_minedgecut_61\vectors.txt;169;0.42144638403990026
68;models/model_minedgecut100\model_minedgecut_68\vectors.txt;163;0.40648379052369077
91;models/model_minedgecut100\model_minedgecut_91\vectors.txt;162;0.40399002493765584
65;models/model_minedgecut100\model_minedgecut_65\vectors.txt;162;0.40399002493765584
7;models/model_minedgecut100\model_minedgecut_7\vectors.txt;162;0.40399002493765584
50;models/model_minedgecut100\model_minedgecut_50\vectors.txt;161;0.4014962593516209
76;models/model_minedgecut100\model_minedgecut_76\vectors.txt;160;0.39900249376558605
56;models/model_minedgecut100\model_minedgecut_56\vectors.txt;159;0.39650872817955113
78;models/model_minedgecut100\model_minedgecut_78\vectors.txt;159;0.39650872817955113
62;models/model_minedgecut100\model_minedgecut_62\vectors.txt;159;0.39650872817955113
83;models/model_minedgecut100\model_minedgecut_83\vectors.txt;158;0.3940149625935162
60;models/model_minedgecut100\model_minedgecut_60\vectors.txt;157;0.3915211970074813
9;models/model_minedgecut100\model_minedgecut_9\vectors.txt;157;0.3915211970074813
59;models/model_minedgecut100\model_minedgecut_59\vectors.txt;157;0.3915211970074813
28;models/model_minedgecut100\model_minedgecut_28\vectors.txt;157;0.3915211970074813
64;models/model_minedgecut100\model_minedgecut_64\vectors.txt;156;0.38902743142144636
92;models/model_minedgecut100\model_minedgecut_92\vectors.txt;156;0.38902743142144636
90;models/model_minedgecut100\model_minedgecut_90\vectors.txt;156;0.38902743142144636
84;models/model_minedgecut100\model_minedgecut_84\vectors.txt;155;0.3865336658354115
98;models/model_minedgecut100\model_minedgecut_98\vectors.txt;155;0.3865336658354115
63;models/model_minedgecut100\model_minedgecut_63\vectors.txt;155;0.3865336658354115
79;models/model_minedgecut100\model_minedgecut_79\vectors.txt;155;0.3865336658354115
57;models/model_minedgecut100\model_minedgecut_57\vectors.txt;155;0.3865336658354115
10;models/model_minedgecut100\model_minedgecut_10\vectors.txt;155;0.3865336658354115
25;models/model_minedgecut100\model_minedgecut_25\vectors.txt;155;0.3865336658354115
30;models/model_minedgecut100\model_minedgecut_30\vectors.txt;154;0.38403990024937656
77;models/model_minedgecut100\model_minedgecut_77\vectors.txt;154;0.38403990024937656
54;models/model_minedgecut100\model_minedgecut_54\vectors.txt;153;0.38154613466334164
69;models/model_minedgecut100\model_minedgecut_69\vectors.txt;153;0.38154613466334164
58;models/model_minedgecut100\model_minedgecut_58\vectors.txt;153;0.38154613466334164
94;models/model_minedgecut100\model_minedgecut_94\vectors.txt;153;0.38154613466334164
40;models/model_minedgecut100\model_minedgecut_40\vectors.txt;152;0.3790523690773067
6;models/model_minedgecut100\model_minedgecut_6\vectors.txt;151;0.3765586034912718
66;models/model_minedgecut100\model_minedgecut_66\vectors.txt;151;0.3765586034912718
4;models/model_minedgecut100\model_minedgecut_4\vectors.txt;151;0.3765586034912718
97;models/model_minedgecut100\model_minedgecut_97\vectors.txt;151;0.3765586034912718
89;models/model_minedgecut100\model_minedgecut_89\vectors.txt;151;0.3765586034912718
11;models/model_minedgecut100\model_minedgecut_11\vectors.txt;150;0.3740648379052369
96;models/model_minedgecut100\model_minedgecut_96\vectors.txt;150;0.3740648379052369
95;models/model_minedgecut100\model_minedgecut_95\vectors.txt;150;0.3740648379052369
70;models/model_minedgecut100\model_minedgecut_70\vectors.txt;150;0.3740648379052369
21;models/model_minedgecut100\model_minedgecut_21\vectors.txt;150;0.3740648379052369
80;models/model_minedgecut100\model_minedgecut_80\vectors.txt;150;0.3740648379052369
8;models/model_minedgecut100\model_minedgecut_8\vectors.txt;150;0.3740648379052369
67;models/model_minedgecut100\model_minedgecut_67\vectors.txt;150;0.3740648379052369
74;models/model_minedgecut100\model_minedgecut_74\vectors.txt;149;0.371571072319202
88;models/model_minedgecut100\model_minedgecut_88\vectors.txt;149;0.371571072319202
0;models/model_minedgecut100\model_minedgecut_0\vectors.txt;149;0.371571072319202
2;models/model_minedgecut100\model_minedgecut_2\vectors.txt;149;0.371571072319202
48;models/model_minedgecut100\model_minedgecut_48\vectors.txt;149;0.371571072319202
75;models/model_minedgecut100\model_minedgecut_75\vectors.txt;148;0.3690773067331671
71;models/model_minedgecut100\model_minedgecut_71\vectors.txt;148;0.3690773067331671
39;models/model_minedgecut100\model_minedgecut_39\vectors.txt;147;0.36658354114713215
82;models/model_minedgecut100\model_minedgecut_82\vectors.txt;146;0.3640897755610973
86;models/model_minedgecut100\model_minedgecut_86\vectors.txt;146;0.3640897755610973
55;models/model_minedgecut100\model_minedgecut_55\vectors.txt;146;0.3640897755610973
93;models/model_minedgecut100\model_minedgecut_93\vectors.txt;145;0.36159600997506236
