;file;count;share
94;models/model_minedgecut100\model_minedgecut_94\vectors.txt;153;0.3695652173913043
96;models/model_minedgecut100\model_minedgecut_96\vectors.txt;149;0.35990338164251207
92;models/model_minedgecut100\model_minedgecut_92\vectors.txt;147;0.35507246376811596
98;models/model_minedgecut100\model_minedgecut_98\vectors.txt;147;0.35507246376811596
95;models/model_minedgecut100\model_minedgecut_95\vectors.txt;143;0.34541062801932365
90;models/model_minedgecut100\model_minedgecut_90\vectors.txt;142;0.34299516908212563
63;models/model_minedgecut100\model_minedgecut_66\vectors.txt;135;0.32608695652173914
99;models/model_minedgecut100\model_minedgecut_99\vectors.txt;134;0.32367149758454106
49;models/model_minedgecut100\model_minedgecut_53\vectors.txt;133;0.321256038647343
61;models/model_minedgecut100\model_minedgecut_64\vectors.txt;133;0.321256038647343
87;models/model_minedgecut100\model_minedgecut_88\vectors.txt;133;0.321256038647343
93;models/model_minedgecut100\model_minedgecut_93\vectors.txt;132;0.3188405797101449
91;models/model_minedgecut100\model_minedgecut_91\vectors.txt;130;0.3140096618357488
77;models/model_minedgecut100\model_minedgecut_79\vectors.txt;130;0.3140096618357488
97;models/model_minedgecut100\model_minedgecut_97\vectors.txt;129;0.3115942028985507
88;models/model_minedgecut100\model_minedgecut_89\vectors.txt;129;0.3115942028985507
68;models/model_minedgecut100\model_minedgecut_70\vectors.txt;125;0.30193236714975846
69;models/model_minedgecut100\model_minedgecut_71\vectors.txt;125;0.30193236714975846
70;models/model_minedgecut100\model_minedgecut_72\vectors.txt;125;0.30193236714975846
79;models/model_minedgecut100\model_minedgecut_80\vectors.txt;125;0.30193236714975846
51;models/model_minedgecut100\model_minedgecut_55\vectors.txt;124;0.2995169082125604
46;models/model_minedgecut100\model_minedgecut_50\vectors.txt;124;0.2995169082125604
2;models/model_minedgecut100\model_minedgecut_10\vectors.txt;124;0.2995169082125604
64;models/model_minedgecut100\model_minedgecut_67\vectors.txt;123;0.2971014492753623
75;models/model_minedgecut100\model_minedgecut_77\vectors.txt;122;0.2946859903381642
65;models/model_minedgecut100\model_minedgecut_68\vectors.txt;121;0.2922705314009662
86;models/model_minedgecut100\model_minedgecut_87\vectors.txt;121;0.2922705314009662
52;models/model_minedgecut100\model_minedgecut_56\vectors.txt;120;0.2898550724637681
81;models/model_minedgecut100\model_minedgecut_82\vectors.txt;120;0.2898550724637681
80;models/model_minedgecut100\model_minedgecut_81\vectors.txt;117;0.2826086956521739
76;models/model_minedgecut100\model_minedgecut_78\vectors.txt;117;0.2826086956521739
83;models/model_minedgecut100\model_minedgecut_84\vectors.txt;117;0.2826086956521739
53;models/model_minedgecut100\model_minedgecut_57\vectors.txt;116;0.28019323671497587
72;models/model_minedgecut100\model_minedgecut_74\vectors.txt;116;0.28019323671497587
89;models/model_minedgecut100\model_minedgecut_9\vectors.txt;115;0.2777777777777778
57;models/model_minedgecut100\model_minedgecut_60\vectors.txt;115;0.2777777777777778
82;models/model_minedgecut100\model_minedgecut_83\vectors.txt;114;0.2753623188405797
3;models/model_minedgecut100\model_minedgecut_11\vectors.txt;114;0.2753623188405797
74;models/model_minedgecut100\model_minedgecut_76\vectors.txt;114;0.2753623188405797
84;models/model_minedgecut100\model_minedgecut_85\vectors.txt;114;0.2753623188405797
12;models/model_minedgecut100\model_minedgecut_2\vectors.txt;113;0.27294685990338163
58;models/model_minedgecut100\model_minedgecut_61\vectors.txt;113;0.27294685990338163
