;file;count;share
62;models/model_minedgecut100\model_minedgecut_62\vectors.txt;311;0.8567493112947658
55;models/model_minedgecut100\model_minedgecut_55\vectors.txt;310;0.8539944903581267
65;models/model_minedgecut100\model_minedgecut_65\vectors.txt;309;0.8512396694214877
61;models/model_minedgecut100\model_minedgecut_61\vectors.txt;308;0.8484848484848485
60;models/model_minedgecut100\model_minedgecut_60\vectors.txt;306;0.8429752066115702
9;models/model_minedgecut100\model_minedgecut_9\vectors.txt;306;0.8429752066115702
41;models/model_minedgecut100\model_minedgecut_41\vectors.txt;305;0.8402203856749312
58;models/model_minedgecut100\model_minedgecut_58\vectors.txt;305;0.8402203856749312
63;models/model_minedgecut100\model_minedgecut_63\vectors.txt;305;0.8402203856749312
81;models/model_minedgecut100\model_minedgecut_81\vectors.txt;305;0.8402203856749312
78;models/model_minedgecut100\model_minedgecut_78\vectors.txt;305;0.8402203856749312
93;models/model_minedgecut100\model_minedgecut_93\vectors.txt;304;0.837465564738292
42;models/model_minedgecut100\model_minedgecut_42\vectors.txt;304;0.837465564738292
10;models/model_minedgecut100\model_minedgecut_10\vectors.txt;304;0.837465564738292
30;models/model_minedgecut100\model_minedgecut_30\vectors.txt;304;0.837465564738292
43;models/model_minedgecut100\model_minedgecut_43\vectors.txt;304;0.837465564738292
79;models/model_minedgecut100\model_minedgecut_79\vectors.txt;304;0.837465564738292
67;models/model_minedgecut100\model_minedgecut_67\vectors.txt;304;0.837465564738292
97;models/model_minedgecut100\model_minedgecut_97\vectors.txt;303;0.8347107438016529
28;models/model_minedgecut100\model_minedgecut_28\vectors.txt;303;0.8347107438016529
83;models/model_minedgecut100\model_minedgecut_83\vectors.txt;303;0.8347107438016529
6;models/model_minedgecut100\model_minedgecut_6\vectors.txt;303;0.8347107438016529
59;models/model_minedgecut100\model_minedgecut_59\vectors.txt;303;0.8347107438016529
25;models/model_minedgecut100\model_minedgecut_25\vectors.txt;302;0.8319559228650137
53;models/model_minedgecut100\model_minedgecut_53\vectors.txt;302;0.8319559228650137
72;models/model_minedgecut100\model_minedgecut_72\vectors.txt;302;0.8319559228650137
1;models/model_minedgecut100\model_minedgecut_1\vectors.txt;301;0.8292011019283747
71;models/model_minedgecut100\model_minedgecut_71\vectors.txt;301;0.8292011019283747
80;models/model_minedgecut100\model_minedgecut_80\vectors.txt;301;0.8292011019283747
29;models/model_minedgecut100\model_minedgecut_29\vectors.txt;301;0.8292011019283747
5;models/model_minedgecut100\model_minedgecut_5\vectors.txt;301;0.8292011019283747
91;models/model_minedgecut100\model_minedgecut_91\vectors.txt;301;0.8292011019283747
92;models/model_minedgecut100\model_minedgecut_92\vectors.txt;301;0.8292011019283747
94;models/model_minedgecut100\model_minedgecut_94\vectors.txt;301;0.8292011019283747
7;models/model_minedgecut100\model_minedgecut_7\vectors.txt;301;0.8292011019283747
76;models/model_minedgecut100\model_minedgecut_76\vectors.txt;301;0.8292011019283747
57;models/model_minedgecut100\model_minedgecut_57\vectors.txt;300;0.8264462809917356
64;models/model_minedgecut100\model_minedgecut_64\vectors.txt;300;0.8264462809917356
90;models/model_minedgecut100\model_minedgecut_90\vectors.txt;300;0.8264462809917356
8;models/model_minedgecut100\model_minedgecut_8\vectors.txt;300;0.8264462809917356
96;models/model_minedgecut100\model_minedgecut_96\vectors.txt;300;0.8264462809917356
77;models/model_minedgecut100\model_minedgecut_77\vectors.txt;300;0.8264462809917356
48;models/model_minedgecut100\model_minedgecut_48\vectors.txt;300;0.8264462809917356
56;models/model_minedgecut100\model_minedgecut_56\vectors.txt;299;0.8236914600550964
69;models/model_minedgecut100\model_minedgecut_69\vectors.txt;299;0.8236914600550964
4;models/model_minedgecut100\model_minedgecut_4\vectors.txt;299;0.8236914600550964
27;models/model_minedgecut100\model_minedgecut_27\vectors.txt;299;0.8236914600550964
