;file;count;share
3;models/model_minedgecut\model_minedgecut_3\vectors.txt;569;0.17205926821892956
2;models/model_minedgecut\model_minedgecut_2\vectors.txt;563;0.1702449349863925
4;models/model_minedgecut\model_minedgecut_4\vectors.txt;561;0.16964015724221349
0;models/model_minedgecut\model_minedgecut_0\vectors.txt;556;0.16812821288176594
1;models/model_minedgecut\model_minedgecut_1\vectors.txt;541;0.16359237980042335
5;models/model_minedgecut\model_minedgecut_5\vectors.txt;521;0.1575446023586332
7;models/model_minedgecut\model_minedgecut_7\vectors.txt;516;0.15603265799818566
6;models/model_minedgecut\model_minedgecut_6\vectors.txt;508;0.15361354702146962
9;models/model_minedgecut\model_minedgecut_9\vectors.txt;477;0.1442394919866949
8;models/model_minedgecut\model_minedgecut_8\vectors.txt;452;0.1366797701844572
