;file;count;share
3;models/model_minedgecut\model_minedgecut_3\vectors.txt;7923;0.36622908384949615
1;models/model_minedgecut\model_minedgecut_1\vectors.txt;7880;0.3642414717574189
0;models/model_minedgecut\model_minedgecut_0\vectors.txt;7779;0.3595728945178885
5;models/model_minedgecut\model_minedgecut_5\vectors.txt;7574;0.3500970694277526
6;models/model_minedgecut\model_minedgecut_6\vectors.txt;7456;0.34464269205879633
4;models/model_minedgecut\model_minedgecut_4\vectors.txt;7441;0.34394933900342056
2;models/model_minedgecut\model_minedgecut_2\vectors.txt;7216;0.33354904317278355
7;models/model_minedgecut\model_minedgecut_7\vectors.txt;7094;0.3279097716557271
9;models/model_minedgecut\model_minedgecut_9\vectors.txt;6788;0.3137653693260608
8;models/model_minedgecut\model_minedgecut_8\vectors.txt;6193;0.2862623647961542
