;file;count;share
1;models/model_minedgecut\model_minedgecut_1\vectors.txt;280;0.6982543640897756
5;models/model_minedgecut\model_minedgecut_5\vectors.txt;274;0.683291770573566
3;models/model_minedgecut\model_minedgecut_3\vectors.txt;272;0.6783042394014963
6;models/model_minedgecut\model_minedgecut_6\vectors.txt;271;0.6758104738154613
4;models/model_minedgecut\model_minedgecut_4\vectors.txt;268;0.6683291770573566
0;models/model_minedgecut\model_minedgecut_0\vectors.txt;267;0.6658354114713217
7;models/model_minedgecut\model_minedgecut_7\vectors.txt;263;0.655860349127182
2;models/model_minedgecut\model_minedgecut_2\vectors.txt;254;0.6334164588528678
9;models/model_minedgecut\model_minedgecut_9\vectors.txt;254;0.6334164588528678
8;models/model_minedgecut\model_minedgecut_8\vectors.txt;245;0.6109725685785536
