;file;count;share
2;models/model_minedgecut\model_minedgecut_2\vectors.txt;267;0.644927536231884
1;models/model_minedgecut\model_minedgecut_1\vectors.txt;259;0.6256038647342995
3;models/model_minedgecut\model_minedgecut_3\vectors.txt;258;0.6231884057971014
4;models/model_minedgecut\model_minedgecut_4\vectors.txt;257;0.6207729468599034
6;models/model_minedgecut\model_minedgecut_6\vectors.txt;248;0.5990338164251208
0;models/model_minedgecut\model_minedgecut_0\vectors.txt;245;0.5917874396135265
5;models/model_minedgecut\model_minedgecut_5\vectors.txt;236;0.5700483091787439
7;models/model_minedgecut\model_minedgecut_7\vectors.txt;221;0.533816425120773
8;models/model_minedgecut\model_minedgecut_8\vectors.txt;212;0.5120772946859904
9;models/model_minedgecut\model_minedgecut_9\vectors.txt;204;0.4927536231884058
