;file;count;share
0;models/model_minedgecut\model_minedgecut_0\vectors.txt;339;0.9338842975206612
3;models/model_minedgecut\model_minedgecut_3\vectors.txt;337;0.928374655647383
1;models/model_minedgecut\model_minedgecut_1\vectors.txt;333;0.9173553719008265
2;models/model_minedgecut\model_minedgecut_2\vectors.txt;332;0.9146005509641874
4;models/model_minedgecut\model_minedgecut_4\vectors.txt;332;0.9146005509641874
9;models/model_minedgecut\model_minedgecut_9\vectors.txt;332;0.9146005509641874
6;models/model_minedgecut\model_minedgecut_6\vectors.txt;331;0.9118457300275482
5;models/model_minedgecut\model_minedgecut_5\vectors.txt;330;0.9090909090909091
7;models/model_minedgecut\model_minedgecut_7\vectors.txt;328;0.9035812672176309
8;models/model_minedgecut\model_minedgecut_8\vectors.txt;326;0.8980716253443526
