task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.445,NB,,0.608235524256651
Classification,MetacriticAlbums,0.445,NB,,0.603971048513302
Classification,MetacriticAlbums,0.445,NB,,0.60254303599374
Classification,MetacriticAlbums,0.445,NB,,0.59839593114241
Classification,MetacriticAlbums,0.445,NB,,0.60956572769953
Classification,MetacriticAlbums,0.445,NB,,0.602464788732394
Classification,MetacriticAlbums,0.445,NB,,0.605301251956182
Classification,MetacriticAlbums,0.445,NB,,0.605340375586854
Classification,MetacriticAlbums,0.445,NB,,0.60387323943662
Classification,MetacriticAlbums,0.445,NB,,0.607942097026604
Classification,MetacriticAlbums,0.445,KNN,K=3,0.539358372456964
Classification,MetacriticAlbums,0.445,KNN,K=3,0.529538341158059
Classification,MetacriticAlbums,0.445,KNN,K=3,0.52533255086072
Classification,MetacriticAlbums,0.445,KNN,K=3,0.540864632237872
Classification,MetacriticAlbums,0.445,KNN,K=3,0.543661971830986
Classification,MetacriticAlbums,0.445,KNN,K=3,0.558978873239437
Classification,MetacriticAlbums,0.445,KNN,K=3,0.532218309859155
Classification,MetacriticAlbums,0.445,KNN,K=3,0.531025039123631
Classification,MetacriticAlbums,0.445,KNN,K=3,0.532374804381847
Classification,MetacriticAlbums,0.445,KNN,K=3,0.530907668231612
Classification,MetacriticAlbums,0.445,C45,,0.5070813771518
Classification,MetacriticAlbums,0.445,C45,,0.536326291079812
Classification,MetacriticAlbums,0.445,C45,,0.518231611893584
Classification,MetacriticAlbums,0.445,C45,,0.535113458528951
Classification,MetacriticAlbums,0.445,C45,,0.51537558685446
Classification,MetacriticAlbums,0.445,C45,,0.532198748043818
Classification,MetacriticAlbums,0.445,C45,,0.529616588419405
Classification,MetacriticAlbums,0.445,C45,,0.542077464788732
Classification,MetacriticAlbums,0.445,C45,,0.512715179968701
Classification,MetacriticAlbums,0.445,C45,,0.509937402190923
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.615179968701096
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.584233176838811
Classification,MetacriticAlbums,0.445,SVM,C=100,0.526819248826291
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.532394366197183
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.619385758998435
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.598356807511737
Classification,MetacriticAlbums,0.445,SVM,C=100,0.568798904538341
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.546302816901408
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.609526604068858
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.571635367762128
Classification,MetacriticAlbums,0.445,SVM,C=100,0.520950704225352
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.516803599374022
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.608098591549296
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.582844287949922
Classification,MetacriticAlbums,0.445,SVM,C=100,0.514064945226917
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.515492957746479
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.623552425665102
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.586971830985916
Classification,MetacriticAlbums,0.445,SVM,C=100,0.529401408450704
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.532140062597809
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.606631455399061
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.577190923317684
Classification,MetacriticAlbums,0.445,SVM,C=100,0.542116588419405
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.543485915492958
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.619346635367762
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.587050078247261
Classification,MetacriticAlbums,0.445,SVM,C=100,0.522378716744914
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.518172926447574
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.613732394366197
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.581533646322379
Classification,MetacriticAlbums,0.445,SVM,C=100,0.512617370892019
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.495774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.613751956181534
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.598317683881064
Classification,MetacriticAlbums,0.445,SVM,C=100,0.529381846635368
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.53080985915493
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.613693270735524
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.581240219092332
Classification,MetacriticAlbums,0.445,SVM,C=100,0.529636150234742
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.522633020344288
