task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification Cities NB - accuracy 1 4 4
Classification Cities KNN K=3 accuracy 1 4 4
Classification Cities C45 - accuracy 1 4 4
Classification Cities SVM C=0.001 accuracy 0 4 4
Classification Cities SVM C=0.01 accuracy 0 4 4
Classification Cities SVM C=0.1 accuracy 1 4 4
Classification Cities SVM C=1.0 accuracy 3 4 4
Classification Cities SVM C=10.0 accuracy 1 4 4
Classification Cities SVM C=100 accuracy 3 4 4
Classification Cities SVM C=1000 accuracy 1 4 4
Classification MetacriticMovies NB - accuracy 3 4 4
Classification MetacriticMovies KNN K=3 accuracy 1 4 4
Classification MetacriticMovies C45 - accuracy 2 4 4
Classification MetacriticMovies SVM C=0.001 accuracy 3 4 4
Classification MetacriticMovies SVM C=0.01 accuracy 3 4 4
Classification MetacriticMovies SVM C=0.1 accuracy 2 4 4
Classification MetacriticMovies SVM C=1.0 accuracy 3 4 4
Classification MetacriticMovies SVM C=10.0 accuracy 3 4 4
Classification MetacriticMovies SVM C=100 accuracy 3 4 4
Classification MetacriticMovies SVM C=1000 accuracy 3 4 4
Classification MetacriticAlbums NB - accuracy 1 4 4
Classification MetacriticAlbums KNN K=3 accuracy 3 4 4
Classification MetacriticAlbums C45 - accuracy 3 4 4
Classification MetacriticAlbums SVM C=0.001 accuracy 2 4 4
Classification MetacriticAlbums SVM C=0.01 accuracy 2 4 4
Classification MetacriticAlbums SVM C=0.1 accuracy 2 4 4
Classification MetacriticAlbums SVM C=1.0 accuracy 2 4 4
Classification MetacriticAlbums SVM C=10.0 accuracy 3 4 4
Classification MetacriticAlbums SVM C=100 accuracy 3 4 4
Classification MetacriticAlbums SVM C=1000 accuracy 2 4 4
Classification AAUP NB - accuracy 1 4 4
Classification AAUP KNN K=3 accuracy 3 4 4
Classification AAUP C45 - accuracy 2 4 4
Classification AAUP SVM C=0.001 accuracy 3 4 4
Classification AAUP SVM C=0.01 accuracy 3 4 4
Classification AAUP SVM C=0.1 accuracy 2 4 4
Classification AAUP SVM C=1.0 accuracy 3 4 4
Classification AAUP SVM C=10.0 accuracy 3 4 4
Classification AAUP SVM C=100 accuracy 3 4 4
Classification AAUP SVM C=1000 accuracy 3 4 4
Classification Forbes NB - accuracy 1 4 4
Classification Forbes KNN K=3 accuracy 1 4 4
Classification Forbes C45 - accuracy 1 4 4
Classification Forbes SVM C=0.001 accuracy 2 4 4
Classification Forbes SVM C=0.01 accuracy 2 4 4
Classification Forbes SVM C=0.1 accuracy 3 4 4
Classification Forbes SVM C=1.0 accuracy 3 4 4
Classification Forbes SVM C=10.0 accuracy 2 4 4
Classification Forbes SVM C=100 accuracy 1 4 4
Classification Forbes SVM C=1000 accuracy 1 4 4
Regression Cities LR - root_mean_squared_error 3 4 4
Regression Cities KNN K=3 root_mean_squared_error 1 4 4
Regression Cities M5 - root_mean_squared_error 1 4 4
Regression MetacriticMovies LR - root_mean_squared_error 2 4 4
Regression MetacriticMovies KNN K=3 root_mean_squared_error 1 4 4
Regression MetacriticMovies M5 - root_mean_squared_error 1 4 4
Regression MetacriticAlbums LR - root_mean_squared_error 2 4 4
Regression MetacriticAlbums KNN K=3 root_mean_squared_error 2 4 4
Regression MetacriticAlbums M5 - root_mean_squared_error 3 4 4
Regression AAUP LR - root_mean_squared_error 3 4 4
Regression AAUP KNN K=3 root_mean_squared_error 0 4 4
Regression AAUP M5 - root_mean_squared_error 1 4 4
Regression Forbes LR - root_mean_squared_error 1 4 4
Regression Forbes KNN K=3 root_mean_squared_error 1 4 4
Regression Forbes M5 - root_mean_squared_error 1 4 4
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 1 4 4
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 1 4 4
Clustering citiesAndCountries_cluster DBSCAN metric=cosine homogeneity_score 1 4 4
Clustering citiesAndCountries_cluster DBSCAN metric=cosine completeness_score 1 4 4
Clustering citiesAndCountries_cluster DBSCAN metric=cosine v_measure_score 1 4 4
Clustering citiesAndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 4 4
Clustering citiesAndCountries_cluster DBSCAN metric=cosine clustering_accuracy 1 4 4
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 0 4 4
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 1 4 4
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 1 4 4
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 1 4 4
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 1 4 4
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 1 4 4
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0 4 4
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0 4 4
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 4 4
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 1 4 4
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 1 4 4
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 1 4 4
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 4 4
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 1 4 4
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0 4 4
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 4 4
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 1 4 4
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 1 4 4
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 1 4 4
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 4 4
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0 4 4
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 2 4 4
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 0 4 4
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine homogeneity_score 1 4 4
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine completeness_score 2 4 4
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine v_measure_score 1 4 4
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 4 4
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine clustering_accuracy 2 4 4
