task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.445,LR,,16.390479477197815
Regression,MetacriticAlbums,0.445,LR,,16.16971626958142
Regression,MetacriticAlbums,0.445,LR,,16.08056431049152
Regression,MetacriticAlbums,0.445,LR,,16.549201178483408
Regression,MetacriticAlbums,0.445,LR,,16.255973639577633
Regression,MetacriticAlbums,0.445,LR,,16.622745754143505
Regression,MetacriticAlbums,0.445,LR,,16.1953227022477
Regression,MetacriticAlbums,0.445,LR,,16.221651891195286
Regression,MetacriticAlbums,0.445,LR,,16.16027455118831
Regression,MetacriticAlbums,0.445,LR,,16.403079043360734
Regression,MetacriticAlbums,0.445,KNN,K=3,16.10356266395086
Regression,MetacriticAlbums,0.445,KNN,K=3,16.128220524146762
Regression,MetacriticAlbums,0.445,KNN,K=3,16.240213493556958
Regression,MetacriticAlbums,0.445,KNN,K=3,16.206524168641188
Regression,MetacriticAlbums,0.445,KNN,K=3,16.092678554861216
Regression,MetacriticAlbums,0.445,KNN,K=3,16.013472175343615
Regression,MetacriticAlbums,0.445,KNN,K=3,15.905208382066743
Regression,MetacriticAlbums,0.445,KNN,K=3,16.209089675951237
Regression,MetacriticAlbums,0.445,KNN,K=3,16.150119229909535
Regression,MetacriticAlbums,0.445,KNN,K=3,16.14880399186341
Regression,MetacriticAlbums,0.445,M5,,19.068509509459748
Regression,MetacriticAlbums,0.445,M5,,20.052960108871467
Regression,MetacriticAlbums,0.445,M5,,20.046705220172264
Regression,MetacriticAlbums,0.445,M5,,20.25395545557972
Regression,MetacriticAlbums,0.445,M5,,20.041479703802075
Regression,MetacriticAlbums,0.445,M5,,19.67941705439116
Regression,MetacriticAlbums,0.445,M5,,20.195667456046866
Regression,MetacriticAlbums,0.445,M5,,20.86071530290598
Regression,MetacriticAlbums,0.445,M5,,19.85711910469822
Regression,MetacriticAlbums,0.445,M5,,20.111957032063668
