task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,23.607036822018607
Regression,MetacriticMovies,0.919,LR,,23.822101599772918
Regression,MetacriticMovies,0.919,LR,,23.557391674836087
Regression,MetacriticMovies,0.919,LR,,23.843009098808754
Regression,MetacriticMovies,0.919,LR,,23.530571453829317
Regression,MetacriticMovies,0.919,LR,,23.766032264507867
Regression,MetacriticMovies,0.919,LR,,23.681806150178467
Regression,MetacriticMovies,0.919,LR,,23.74229650116082
Regression,MetacriticMovies,0.919,LR,,23.886219088448676
Regression,MetacriticMovies,0.919,LR,,23.668654131568807
Regression,MetacriticMovies,0.919,KNN,K=3,25.142071578047055
Regression,MetacriticMovies,0.919,KNN,K=3,25.253200157942427
Regression,MetacriticMovies,0.919,KNN,K=3,25.04245029430658
Regression,MetacriticMovies,0.919,KNN,K=3,25.23861475749039
Regression,MetacriticMovies,0.919,KNN,K=3,25.419983592525266
Regression,MetacriticMovies,0.919,KNN,K=3,25.40565240432218
Regression,MetacriticMovies,0.919,KNN,K=3,25.320545972618675
Regression,MetacriticMovies,0.919,KNN,K=3,25.34906243085869
Regression,MetacriticMovies,0.919,KNN,K=3,25.31897972947609
Regression,MetacriticMovies,0.919,KNN,K=3,25.29078881589116
Regression,MetacriticMovies,0.919,M5,,31.445587149412585
Regression,MetacriticMovies,0.919,M5,,31.167781997575172
Regression,MetacriticMovies,0.919,M5,,31.84418595916214
Regression,MetacriticMovies,0.919,M5,,31.78616424026014
Regression,MetacriticMovies,0.919,M5,,31.756402600318626
Regression,MetacriticMovies,0.919,M5,,32.32324589353497
Regression,MetacriticMovies,0.919,M5,,32.02428660205122
Regression,MetacriticMovies,0.919,M5,,31.244770363428582
Regression,MetacriticMovies,0.919,M5,,31.49745042831571
Regression,MetacriticMovies,0.919,M5,,31.862329714803266
