task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,Cities,0.9811320754716981,NB,,0.774285714285714
Classification,Cities,0.9811320754716981,NB,,0.749761904761905
Classification,Cities,0.9811320754716981,NB,,0.755
Classification,Cities,0.9811320754716981,NB,,0.741428571428571
Classification,Cities,0.9811320754716981,NB,,0.75
Classification,Cities,0.9811320754716981,NB,,0.745952380952381
Classification,Cities,0.9811320754716981,NB,,0.760952380952381
Classification,Cities,0.9811320754716981,NB,,0.769761904761905
Classification,Cities,0.9811320754716981,NB,,0.745714285714286
Classification,Cities,0.9811320754716981,NB,,0.765238095238095
Classification,Cities,0.9811320754716981,KNN,K=3,0.657380952380952
Classification,Cities,0.9811320754716981,KNN,K=3,0.653809523809524
Classification,Cities,0.9811320754716981,KNN,K=3,0.672857142857143
Classification,Cities,0.9811320754716981,KNN,K=3,0.663095238095238
Classification,Cities,0.9811320754716981,KNN,K=3,0.643333333333333
Classification,Cities,0.9811320754716981,KNN,K=3,0.653809523809524
Classification,Cities,0.9811320754716981,KNN,K=3,0.649761904761905
Classification,Cities,0.9811320754716981,KNN,K=3,0.664047619047619
Classification,Cities,0.9811320754716981,KNN,K=3,0.674047619047619
Classification,Cities,0.9811320754716981,KNN,K=3,0.611190476190476
Classification,Cities,0.9811320754716981,C45,,0.554285714285714
Classification,Cities,0.9811320754716981,C45,,0.561904761904762
Classification,Cities,0.9811320754716981,C45,,0.581666666666667
Classification,Cities,0.9811320754716981,C45,,0.544047619047619
Classification,Cities,0.9811320754716981,C45,,0.568095238095238
Classification,Cities,0.9811320754716981,C45,,0.558333333333333
Classification,Cities,0.9811320754716981,C45,,0.544047619047619
Classification,Cities,0.9811320754716981,C45,,0.52952380952381
Classification,Cities,0.9811320754716981,C45,,0.586666666666667
Classification,Cities,0.9811320754716981,C45,,0.601190476190476
Classification,Cities,0.9811320754716981,SVM,C=0.001,0.495714285714286
Classification,Cities,0.9811320754716981,SVM,C=0.01,0.495714285714286
Classification,Cities,0.9811320754716981,SVM,C=0.1,0.495714285714286
Classification,Cities,0.9811320754716981,SVM,C=1.0,0.788571428571428
Classification,Cities,0.9811320754716981,SVM,C=10.0,0.788571428571428
Classification,Cities,0.9811320754716981,SVM,C=100,0.774047619047619
Classification,Cities,0.9811320754716981,SVM,C=1000,0.774047619047619
Classification,Cities,0.9811320754716981,SVM,C=0.001,0.495238095238095
Classification,Cities,0.9811320754716981,SVM,C=0.01,0.495238095238095
Classification,Cities,0.9811320754716981,SVM,C=0.1,0.495238095238095
Classification,Cities,0.9811320754716981,SVM,C=1.0,0.797857142857143
Classification,Cities,0.9811320754716981,SVM,C=10.0,0.797857142857143
Classification,Cities,0.9811320754716981,SVM,C=100,0.788333333333333
Classification,Cities,0.9811320754716981,SVM,C=1000,0.788333333333333
Classification,Cities,0.9811320754716981,SVM,C=0.001,0.495714285714286
Classification,Cities,0.9811320754716981,SVM,C=0.01,0.495714285714286
Classification,Cities,0.9811320754716981,SVM,C=0.1,0.495714285714286
