task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.16375,NB,,0.572507122507122
Classification,MetacriticAlbums,0.16375,NB,,0.572792022792023
Classification,MetacriticAlbums,0.16375,NB,,0.564529914529914
Classification,MetacriticAlbums,0.16375,NB,,0.584472934472934
Classification,MetacriticAlbums,0.16375,NB,,0.58048433048433
Classification,MetacriticAlbums,0.16375,NB,,0.58005698005698
Classification,MetacriticAlbums,0.16375,NB,,0.58005698005698
Classification,MetacriticAlbums,0.16375,NB,,0.576495726495726
Classification,MetacriticAlbums,0.16375,NB,,0.576353276353276
Classification,MetacriticAlbums,0.16375,NB,,0.580484330484331
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.553276353276353
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.561396011396011
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.546153846153846
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.564814814814815
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.556410256410256
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.553561253561254
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.55014245014245
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.549430199430199
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.526210826210826
Classification,MetacriticAlbums,0.16375,KNN,K=3,0.522934472934473
Classification,MetacriticAlbums,0.16375,C45,,0.534900284900285
Classification,MetacriticAlbums,0.16375,C45,,0.546723646723647
Classification,MetacriticAlbums,0.16375,C45,,0.538888888888889
Classification,MetacriticAlbums,0.16375,C45,,0.541880341880342
Classification,MetacriticAlbums,0.16375,C45,,0.522507122507122
Classification,MetacriticAlbums,0.16375,C45,,0.511965811965812
Classification,MetacriticAlbums,0.16375,C45,,0.541025641025641
Classification,MetacriticAlbums,0.16375,C45,,0.542877492877493
Classification,MetacriticAlbums,0.16375,C45,,0.526923076923077
Classification,MetacriticAlbums,0.16375,C45,,0.542165242165242
Classification,MetacriticAlbums,0.16375,SVM,C=0.001,0.599287749287749
Classification,MetacriticAlbums,0.16375,SVM,C=0.01,0.599287749287749
Classification,MetacriticAlbums,0.16375,SVM,C=0.1,0.599287749287749
Classification,MetacriticAlbums,0.16375,SVM,C=1.0,0.587891737891738
Classification,MetacriticAlbums,0.16375,SVM,C=10.0,0.614672364672365
Classification,MetacriticAlbums,0.16375,SVM,C=100,0.519373219373219
Classification,MetacriticAlbums,0.16375,SVM,C=1000,0.496296296296296
Classification,MetacriticAlbums,0.16375,SVM,C=0.001,0.599287749287749
Classification,MetacriticAlbums,0.16375,SVM,C=0.01,0.599287749287749
Classification,MetacriticAlbums,0.16375,SVM,C=0.1,0.599287749287749
