task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.918,NB,,0.683484794488002
Classification,MetacriticMovies,0.918,NB,,0.682469113803754
Classification,MetacriticMovies,0.918,NB,,0.68515680684248
Classification,MetacriticMovies,0.918,NB,,0.682475053456878
Classification,MetacriticMovies,0.918,NB,,0.685735923022096
Classification,MetacriticMovies,0.918,NB,,0.685162746495605
Classification,MetacriticMovies,0.918,NB,,0.682988833452126
Classification,MetacriticMovies,0.918,NB,,0.682448325017819
Classification,MetacriticMovies,0.918,NB,,0.686335827987646
Classification,MetacriticMovies,0.918,NB,,0.681916726063198
Classification,MetacriticMovies,0.918,KNN,K=3,0.62527916369684
Classification,MetacriticMovies,0.918,KNN,K=3,0.622050962223806
Classification,MetacriticMovies,0.918,KNN,K=3,0.618166429080542
Classification,MetacriticMovies,0.918,KNN,K=3,0.620916488477073
Classification,MetacriticMovies,0.918,KNN,K=3,0.61604300308862
Classification,MetacriticMovies,0.918,KNN,K=3,0.616034093608933
Classification,MetacriticMovies,0.918,KNN,K=3,0.623131979092421
Classification,MetacriticMovies,0.918,KNN,K=3,0.62745604656688
Classification,MetacriticMovies,0.918,KNN,K=3,0.634559871703492
Classification,MetacriticMovies,0.918,KNN,K=3,0.625252435257781
Classification,MetacriticMovies,0.918,C45,,0.587657400807793
Classification,MetacriticMovies,0.918,C45,,0.583885721073889
Classification,MetacriticMovies,0.918,C45,,0.597505345687812
Classification,MetacriticMovies,0.918,C45,,0.587690068899976
Classification,MetacriticMovies,0.918,C45,,0.588215728201473
Classification,MetacriticMovies,0.918,C45,,0.606186148728914
Classification,MetacriticMovies,0.918,C45,,0.591497386552625
Classification,MetacriticMovies,0.918,C45,,0.573515086718936
Classification,MetacriticMovies,0.918,C45,,0.567554644808743
Classification,MetacriticMovies,0.918,C45,,0.581673200285103
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507626514611547
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507626514611547
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.688408766928011
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.728721192682347
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.69553635067712
Classification,MetacriticMovies,0.918,SVM,C=100,0.668793062485151
Classification,MetacriticMovies,0.918,SVM,C=1000,0.638310762651461
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507626514611547
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507626514611547
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.688441435020195
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.720595747208363
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.683562009978617
Classification,MetacriticMovies,0.918,SVM,C=100,0.645402708481825
Classification,MetacriticMovies,0.918,SVM,C=1000,0.622538013779995
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507626514611547
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507626514611547
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.687330719885959
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.717824899025897
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.696590639106676
Classification,MetacriticMovies,0.918,SVM,C=100,0.666636968401045
Classification,MetacriticMovies,0.918,SVM,C=1000,0.635038013779995
