task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.16375,LR,,29.827965730070908
Regression,MetacriticAlbums,0.16375,LR,,26.338206934060516
Regression,MetacriticAlbums,0.16375,LR,,27.981226135263093
Regression,MetacriticAlbums,0.16375,LR,,30.700355999949068
Regression,MetacriticAlbums,0.16375,LR,,28.456314967928726
Regression,MetacriticAlbums,0.16375,LR,,29.97176211681569
Regression,MetacriticAlbums,0.16375,LR,,30.225958935528222
Regression,MetacriticAlbums,0.16375,LR,,32.182721548387306
Regression,MetacriticAlbums,0.16375,LR,,30.317216550866995
Regression,MetacriticAlbums,0.16375,LR,,31.155886231330577
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.36342776476856
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.13811015639206
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.543635189403194
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.085824193603376
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.19915047674596
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.36132020413762
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.29270618803841
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.13430486733278
Regression,MetacriticAlbums,0.16375,KNN,K=3,16.563787860202147
Regression,MetacriticAlbums,0.16375,KNN,K=3,15.92656553605693
Regression,MetacriticAlbums,0.16375,M5,,19.725173015659955
Regression,MetacriticAlbums,0.16375,M5,,19.521333530133976
Regression,MetacriticAlbums,0.16375,M5,,19.759022701893024
Regression,MetacriticAlbums,0.16375,M5,,19.073821614989917
Regression,MetacriticAlbums,0.16375,M5,,19.879359200243357
Regression,MetacriticAlbums,0.16375,M5,,20.4645087835065
Regression,MetacriticAlbums,0.16375,M5,,21.032212151719254
Regression,MetacriticAlbums,0.16375,M5,,19.330046687527584
Regression,MetacriticAlbums,0.16375,M5,,20.28395455198611
Regression,MetacriticAlbums,0.16375,M5,,20.69201425304909
