task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.918,LR,,20.196325654729044
Regression,MetacriticMovies,0.918,LR,,20.2676496597664
Regression,MetacriticMovies,0.918,LR,,20.28971945606711
Regression,MetacriticMovies,0.918,LR,,20.30866585543809
Regression,MetacriticMovies,0.918,LR,,20.110359810978125
Regression,MetacriticMovies,0.918,LR,,20.272663541581164
Regression,MetacriticMovies,0.918,LR,,20.256027326400016
Regression,MetacriticMovies,0.918,LR,,20.213796493339835
Regression,MetacriticMovies,0.918,LR,,20.280240167646607
Regression,MetacriticMovies,0.918,LR,,20.2865550088036
Regression,MetacriticMovies,0.918,KNN,K=3,23.125991906783273
Regression,MetacriticMovies,0.918,KNN,K=3,23.193190988504305
Regression,MetacriticMovies,0.918,KNN,K=3,23.053487371933276
Regression,MetacriticMovies,0.918,KNN,K=3,23.20025703556694
Regression,MetacriticMovies,0.918,KNN,K=3,23.055085315289336
Regression,MetacriticMovies,0.918,KNN,K=3,23.488079351662204
Regression,MetacriticMovies,0.918,KNN,K=3,23.094027434223808
Regression,MetacriticMovies,0.918,KNN,K=3,23.06012689165228
Regression,MetacriticMovies,0.918,KNN,K=3,23.067645371763028
Regression,MetacriticMovies,0.918,KNN,K=3,22.907250237668812
Regression,MetacriticMovies,0.918,M5,,29.190269845529297
Regression,MetacriticMovies,0.918,M5,,29.469900865212196
Regression,MetacriticMovies,0.918,M5,,29.488902566620833
Regression,MetacriticMovies,0.918,M5,,29.45632036129186
Regression,MetacriticMovies,0.918,M5,,29.42792193865078
Regression,MetacriticMovies,0.918,M5,,28.601249383483047
Regression,MetacriticMovies,0.918,M5,,29.311153962376135
Regression,MetacriticMovies,0.918,M5,,29.705752019072463
Regression,MetacriticMovies,0.918,M5,,29.612753607307354
Regression,MetacriticMovies,0.918,M5,,28.81809084965384
