task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.975,NB,,0.581331503088538
Classification,AAUP,0.975,NB,,0.590905971173644
Classification,AAUP,0.975,NB,,0.590768702814002
Classification,AAUP,0.975,NB,,0.583276138183482
Classification,AAUP,0.975,NB,,0.59201555708076
Classification,AAUP,0.975,NB,,0.594063143445436
Classification,AAUP,0.975,NB,,0.588618165179593
Classification,AAUP,0.975,NB,,0.58538091969801
Classification,AAUP,0.975,NB,,0.591843971631206
Classification,AAUP,0.975,NB,,0.585358041638069
Classification,AAUP,0.975,KNN,K=3,0.575829329672844
Classification,AAUP,0.975,KNN,K=3,0.597185998627316
Classification,AAUP,0.975,KNN,K=3,0.595001143902997
Classification,AAUP,0.975,KNN,K=3,0.581148478609014
Classification,AAUP,0.975,KNN,K=3,0.588641043239533
Classification,AAUP,0.975,KNN,K=3,0.593022191718142
Classification,AAUP,0.975,KNN,K=3,0.584454358270419
Classification,AAUP,0.975,KNN,K=3,0.573816060398078
Classification,AAUP,0.975,KNN,K=3,0.58761153054221
Classification,AAUP,0.975,KNN,K=3,0.58539235872798
Classification,AAUP,0.975,C45,,0.525760695493022
Classification,AAUP,0.975,C45,,0.514950812171128
Classification,AAUP,0.975,C45,,0.517021276595745
Classification,AAUP,0.975,C45,,0.512720201326927
Classification,AAUP,0.975,C45,,0.533024479524136
Classification,AAUP,0.975,C45,,0.524673987645848
Classification,AAUP,0.975,C45,,0.519148936170213
Classification,AAUP,0.975,C45,,0.531022649279341
Classification,AAUP,0.975,C45,,0.534168382521162
Classification,AAUP,0.975,C45,,0.515991763898422
Classification,AAUP,0.975,SVM,C=0.001,0.550205902539465
Classification,AAUP,0.975,SVM,C=0.01,0.550205902539465
Classification,AAUP,0.975,SVM,C=0.1,0.550205902539465
Classification,AAUP,0.975,SVM,C=1.0,0.679569892473118
Classification,AAUP,0.975,SVM,C=10.0,0.677293525509037
Classification,AAUP,0.975,SVM,C=100,0.656966369251888
Classification,AAUP,0.975,SVM,C=1000,0.62389613360787
Classification,AAUP,0.975,SVM,C=0.001,0.550205902539465
Classification,AAUP,0.975,SVM,C=0.01,0.550205902539465
Classification,AAUP,0.975,SVM,C=0.1,0.550205902539465
Classification,AAUP,0.975,SVM,C=1.0,0.669961107298101
Classification,AAUP,0.975,SVM,C=10.0,0.674113475177305
