task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,Forbes,0.8296529968454258,NB,,0.472224149895906
Classification,Forbes,0.8296529968454258,NB,,0.471402960906778
Classification,Forbes,0.8296529968454258,NB,,0.472270414064307
Classification,Forbes,0.8296529968454258,NB,,0.474491094147583
Classification,Forbes,0.8296529968454258,NB,,0.474491094147583
Classification,Forbes,0.8296529968454258,NB,,0.470743696507055
Classification,Forbes,0.8296529968454258,NB,,0.473716169326856
Classification,Forbes,0.8296529968454258,NB,,0.468418922044876
Classification,Forbes,0.8296529968454258,NB,,0.472270414064307
Classification,Forbes,0.8296529968454258,NB,,0.473045338885034
Classification,Forbes,0.8296529968454258,KNN,K=3,0.543014110571362
Classification,Forbes,0.8296529968454258,KNN,K=3,0.541493176035161
Classification,Forbes,0.8296529968454258,KNN,K=3,0.536010872079574
Classification,Forbes,0.8296529968454258,KNN,K=3,0.539868147120056
Classification,Forbes,0.8296529968454258,KNN,K=3,0.536843627110803
Classification,Forbes,0.8296529968454258,KNN,K=3,0.533003701133472
Classification,Forbes,0.8296529968454258,KNN,K=3,0.541435345824659
Classification,Forbes,0.8296529968454258,KNN,K=3,0.538474439046958
Classification,Forbes,0.8296529968454258,KNN,K=3,0.533853805227851
Classification,Forbes,0.8296529968454258,KNN,K=3,0.542192921582235
Classification,Forbes,0.8296529968454258,C45,,0.497391857506361
Classification,Forbes,0.8296529968454258,C45,,0.530759888965996
Classification,Forbes,0.8296529968454258,C45,,0.514058524173028
Classification,Forbes,0.8296529968454258,C45,,0.499687716863289
Classification,Forbes,0.8296529968454258,C45,,0.499589405505436
Classification,Forbes,0.8296529968454258,C45,,0.500375896368263
Classification,Forbes,0.8296529968454258,C45,,0.511826278047652
Classification,Forbes,0.8296529968454258,C45,,0.493551931529031
Classification,Forbes,0.8296529968454258,C45,,0.500323849178811
Classification,Forbes,0.8296529968454258,C45,,0.505783021050197
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.5779493407356
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.589336109183438
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.549809160305344
Classification,Forbes,0.8296529968454258,SVM,C=100,0.551278047652093
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.514850798056905
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490492713393477
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490492713393477
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.577891510525098
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.587890353920888
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.555198935924127
Classification,Forbes,0.8296529968454258,SVM,C=100,0.531627342123525
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.502706453851492
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490492713393477
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490492713393477
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.577128151746472
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.589318760120287
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.561219060837381
Classification,Forbes,0.8296529968454258,SVM,C=100,0.543679157992135
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.500393245431413
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.576416840157298
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.60000578302105
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.552885727504048
Classification,Forbes,0.8296529968454258,SVM,C=100,0.542256534813787
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.507280823502198
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.573403886190146
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.60530303030303
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.56352648623641
Classification,Forbes,0.8296529968454258,SVM,C=100,0.533894286375202
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.501919962988665
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.573392320148045
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.59235484617164
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.550514688873468
Classification,Forbes,0.8296529968454258,SVM,C=100,0.539810316909554
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.519361554476058
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490492713393477
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490492713393477
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.577874161461948
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.596882951653944
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.559738607448531
Classification,Forbes,0.8296529968454258,SVM,C=100,0.547611612306269
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.509495720564423
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.576544066620402
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.593216516308119
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.556638908165626
Classification,Forbes,0.8296529968454258,SVM,C=100,0.530794587092297
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.51559102475133
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490492713393477
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490492713393477
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.577249595188526
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.593939393939394
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.565116817025214
Classification,Forbes,0.8296529968454258,SVM,C=100,0.544517696044414
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.508021050196623
Classification,Forbes,0.8296529968454258,SVM,C=0.001,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.01,0.490486930372427
Classification,Forbes,0.8296529968454258,SVM,C=0.1,0.578747397640527
Classification,Forbes,0.8296529968454258,SVM,C=1.0,0.587797825584085
Classification,Forbes,0.8296529968454258,SVM,C=10.0,0.561207494795281
Classification,Forbes,0.8296529968454258,SVM,C=100,0.55060143418922
Classification,Forbes,0.8296529968454258,SVM,C=1000,0.50265440666204
