task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.156875,NB,,0.582
Classification,MetacriticAlbums,0.156875,NB,,0.589384615384615
Classification,MetacriticAlbums,0.156875,NB,,0.577538461538462
Classification,MetacriticAlbums,0.156875,NB,,0.573692307692308
Classification,MetacriticAlbums,0.156875,NB,,0.593538461538462
Classification,MetacriticAlbums,0.156875,NB,,0.577692307692308
Classification,MetacriticAlbums,0.156875,NB,,0.553846153846154
Classification,MetacriticAlbums,0.156875,NB,,0.565538461538462
Classification,MetacriticAlbums,0.156875,NB,,0.581230769230769
Classification,MetacriticAlbums,0.156875,NB,,0.545692307692308
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.53
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.529384615384615
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.530615384615385
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.509692307692308
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.522461538461539
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.517692307692308
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.526
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.521384615384615
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.494153846153846
Classification,MetacriticAlbums,0.156875,KNN,K=3,0.53
Classification,MetacriticAlbums,0.156875,C45,,0.542307692307692
Classification,MetacriticAlbums,0.156875,C45,,0.522461538461539
Classification,MetacriticAlbums,0.156875,C45,,0.566307692307692
Classification,MetacriticAlbums,0.156875,C45,,0.573384615384615
Classification,MetacriticAlbums,0.156875,C45,,0.585384615384615
Classification,MetacriticAlbums,0.156875,C45,,0.442461538461538
Classification,MetacriticAlbums,0.156875,C45,,0.553692307692308
Classification,MetacriticAlbums,0.156875,C45,,0.541384615384615
Classification,MetacriticAlbums,0.156875,C45,,0.561692307692308
Classification,MetacriticAlbums,0.156875,C45,,0.593846153846154
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.553846153846154
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.529538461538462
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.513692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.565692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.605692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.53
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.534153846153846
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.561692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.562307692307692
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.474769230769231
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.474153846153846
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.569692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.585538461538462
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.493692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.445692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.558
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.594307692307692
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.510615384615385
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.478461538461539
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.573692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.561846153846154
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.546153846153846
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.514461538461538
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.565846153846154
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.574
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.541846153846154
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.513538461538462
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.569692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.573230769230769
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.545692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.493538461538462
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.565692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.581384615384615
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.562
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.458
Classification,MetacriticAlbums,0.156875,SVM,C=0.001,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.01,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=0.1,0.581692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=1.0,0.549692307692308
Classification,MetacriticAlbums,0.156875,SVM,C=10.0,0.55
Classification,MetacriticAlbums,0.156875,SVM,C=100,0.526
Classification,MetacriticAlbums,0.156875,SVM,C=1000,0.478153846153846
