task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.918,NB,,0.686237823711095
Classification,MetacriticMovies,0.918,NB,,0.686264552150154
Classification,MetacriticMovies,0.918,NB,,0.686813970064148
Classification,MetacriticMovies,0.918,NB,,0.69008077928249
Classification,MetacriticMovies,0.918,NB,,0.687354478498456
Classification,MetacriticMovies,0.918,NB,,0.685688405797102
Classification,MetacriticMovies,0.918,NB,,0.686778332145403
Classification,MetacriticMovies,0.918,NB,,0.688480042765503
Classification,MetacriticMovies,0.918,NB,,0.685762651461154
Classification,MetacriticMovies,0.918,NB,,0.685724043715847
Classification,MetacriticMovies,0.918,KNN,K=3,0.63995604656688
Classification,MetacriticMovies,0.918,KNN,K=3,0.628575671180803
Classification,MetacriticMovies,0.918,KNN,K=3,0.64214480874317
Classification,MetacriticMovies,0.918,KNN,K=3,0.640463886909004
Classification,MetacriticMovies,0.918,KNN,K=3,0.644345450225707
Classification,MetacriticMovies,0.918,KNN,K=3,0.638943335709194
Classification,MetacriticMovies,0.918,KNN,K=3,0.634013423616061
Classification,MetacriticMovies,0.918,KNN,K=3,0.640520313613685
Classification,MetacriticMovies,0.918,KNN,K=3,0.638916607270136
Classification,MetacriticMovies,0.918,KNN,K=3,0.631809812306961
Classification,MetacriticMovies,0.918,C45,,0.579460679496317
Classification,MetacriticMovies,0.918,C45,,0.577328344024709
Classification,MetacriticMovies,0.918,C45,,0.574034806367308
Classification,MetacriticMovies,0.918,C45,,0.579523045854122
Classification,MetacriticMovies,0.918,C45,,0.590428248990259
Classification,MetacriticMovies,0.918,C45,,0.575175219767166
Classification,MetacriticMovies,0.918,C45,,0.568077334283678
Classification,MetacriticMovies,0.918,C45,,0.574640650985982
Classification,MetacriticMovies,0.918,C45,,0.586038845331433
Classification,MetacriticMovies,0.918,C45,,0.577384770729389
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.696599548586363
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.720527441197434
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.69168448562604
Classification,MetacriticMovies,0.918,SVM,C=100,0.661190306486101
Classification,MetacriticMovies,0.918,SVM,C=1000,0.654077571869803
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.69281598954621
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.719493941553813
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.697701354240912
Classification,MetacriticMovies,0.918,SVM,C=100,0.665018412924685
Classification,MetacriticMovies,0.918,SVM,C=1000,0.653581610833927
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.692236873366596
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.710254811119031
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.689525421715372
Classification,MetacriticMovies,0.918,SVM,C=100,0.670473984319316
Classification,MetacriticMovies,0.918,SVM,C=1000,0.657374079353766
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.692266571632217
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.71512235685436
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.685706224756474
Classification,MetacriticMovies,0.918,SVM,C=100,0.667753623188406
Classification,MetacriticMovies,0.918,SVM,C=1000,0.649789142314089
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.692807080066524
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.716218222855785
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.69719648372535
Classification,MetacriticMovies,0.918,SVM,C=100,0.677598598241863
Classification,MetacriticMovies,0.918,SVM,C=1000,0.666690425279164
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.694951294844381
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.716188524590164
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.697128177714422
Classification,MetacriticMovies,0.918,SVM,C=100,0.664451176051319
Classification,MetacriticMovies,0.918,SVM,C=1000,0.647588500831551
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.69008077928249
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.715698503207413
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.687915775718698
Classification,MetacriticMovies,0.918,SVM,C=100,0.656325730577334
Classification,MetacriticMovies,0.918,SVM,C=1000,0.656337609883583
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.690110477548111
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.7167973390354
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.693923734853884
Classification,MetacriticMovies,0.918,SVM,C=100,0.665558921358993
Classification,MetacriticMovies,0.918,SVM,C=1000,0.653014373960561
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.692311119030649
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.720634354953671
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.685213233547161
Classification,MetacriticMovies,0.918,SVM,C=100,0.669425635542884
Classification,MetacriticMovies,0.918,SVM,C=1000,0.656343549536707
Classification,MetacriticMovies,0.918,SVM,C=0.001,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.01,0.507083036350677
Classification,MetacriticMovies,0.918,SVM,C=0.1,0.695001781895937
Classification,MetacriticMovies,0.918,SVM,C=1.0,0.719520669992872
Classification,MetacriticMovies,0.918,SVM,C=10.0,0.691191494416726
Classification,MetacriticMovies,0.918,SVM,C=100,0.657956165359943
Classification,MetacriticMovies,0.918,SVM,C=1000,0.644315751960086
