entity,related_to
http://dbpedia.org/resource/Infinite_Loop_(street),http://dbpedia.org/resource/Apple_Inc.
http://dbpedia.org/resource/Bing,http://dbpedia.org/resource/Google
http://dbpedia.org/resource/Crunchie,http://dbpedia.org/resource/Facebook
http://dbpedia.org/resource/IBM_DB2,http://dbpedia.org/resource/IBM
http://dbpedia.org/resource/Smarter_Planet,http://dbpedia.org/resource/IBM
http://dbpedia.org/resource/2005_Kashmir_earthquake,http://dbpedia.org/resource/Angelina_Jolie
http://dbpedia.org/resource/Rusty_Ryan,http://dbpedia.org/resource/Brad_Pitt
http://dbpedia.org/resource/ONE_Campaign,http://dbpedia.org/resource/Brad_Pitt
http://dbpedia.org/resource/Golden_Globe_Award_for_Best_Actor_-_Motion_Picture_Drama,http://dbpedia.org/resource/Leonardo_DiCaprio
http://dbpedia.org/resource/Rockstar_Games_Social_Club,http://dbpedia.org/resource/Grand_Theft_Auto_IV
http://dbpedia.org/resource/Red_Annihilation,http://dbpedia.org/resource/Quake_(video_game)
http://dbpedia.org/resource/Blahbalicious,http://dbpedia.org/resource/Quake_(video_game)
http://dbpedia.org/resource/Technology_&_Engineering_Emmy_Award,http://dbpedia.org/resource/Quake_(video_game)
http://dbpedia.org/resource/DirectDraw,http://dbpedia.org/resource/Quake_(video_game)
http://dbpedia.org/resource/Steam_(software),http://dbpedia.org/resource/Deus_Ex
http://dbpedia.org/resource/WaveGroup_Sound,http://dbpedia.org/resource/Guitar_Hero_(video_game)
http://dbpedia.org/resource/Marcus_Henderson,http://dbpedia.org/resource/Guitar_Hero_(video_game)
http://dbpedia.org/resource/Gibson_SG,http://dbpedia.org/resource/Guitar_Hero_(video_game)
http://dbpedia.org/resource/James_McCaffrey,http://dbpedia.org/resource/Max_Payne
http://dbpedia.org/resource/Ragnarök,http://dbpedia.org/resource/Max_Payne
http://dbpedia.org/resource/Golden_Joystick_Award,http://dbpedia.org/resource/Max_Payne
http://dbpedia.org/resource/Tomb_Raider_(video_game),http://dbpedia.org/resource/Max_Payne
http://dbpedia.org/resource/Electronic_Entertainment_Expo,http://dbpedia.org/resource/Max_Payne
http://dbpedia.org/resource/Chuck_Norris_facts,http://dbpedia.org/resource/Chuck_Norris
http://dbpedia.org/resource/Chun_Kuk_Do,http://dbpedia.org/resource/Chuck_Norris
http://dbpedia.org/resource/Big_Pussy_Bonpensiero,http://dbpedia.org/resource/The_Sopranos
http://dbpedia.org/resource/Furio_Giunta,http://dbpedia.org/resource/The_Sopranos
http://dbpedia.org/resource/Satriale's_Pork_Store,http://dbpedia.org/resource/The_Sopranos
http://dbpedia.org/resource/Pie-O-My,http://dbpedia.org/resource/The_Sopranos
http://dbpedia.org/resource/Howling_Mad_Murdock,http://dbpedia.org/resource/The_A-Team
"http://dbpedia.org/resource/Templeton_""Faceman""_Peck",http://dbpedia.org/resource/The_A-Team
http://dbpedia.org/resource/Mad_Max,http://dbpedia.org/resource/The_A-Team
http://dbpedia.org/resource/The_Problem_with_Popplers,http://dbpedia.org/resource/Futurama
http://dbpedia.org/resource/Futurama_(New_York_World's_Fair),http://dbpedia.org/resource/Futurama
