task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.975,LR,,64.39602844775364
Regression,AAUP,0.975,LR,,63.96527342349309
Regression,AAUP,0.975,LR,,64.21244727373188
Regression,AAUP,0.975,LR,,64.1641329114845
Regression,AAUP,0.975,LR,,64.17609349532557
Regression,AAUP,0.975,LR,,63.9051741821292
Regression,AAUP,0.975,LR,,64.12263138467912
Regression,AAUP,0.975,LR,,64.86428690933013
Regression,AAUP,0.975,LR,,64.37961383795295
Regression,AAUP,0.975,LR,,65.5203830935169
Regression,AAUP,0.975,KNN,K=3,75.9991310143279
Regression,AAUP,0.975,KNN,K=3,76.82749530309994
Regression,AAUP,0.975,KNN,K=3,75.53421923039576
Regression,AAUP,0.975,KNN,K=3,77.07467709179186
Regression,AAUP,0.975,KNN,K=3,76.35167175380391
Regression,AAUP,0.975,KNN,K=3,76.2674745175553
Regression,AAUP,0.975,KNN,K=3,76.5800734193577
Regression,AAUP,0.975,KNN,K=3,77.13197206486788
Regression,AAUP,0.975,KNN,K=3,76.54996322600185
Regression,AAUP,0.975,KNN,K=3,75.87799969911329
Regression,AAUP,0.975,M5,,99.2711536882114
Regression,AAUP,0.975,M5,,99.56545614072037
Regression,AAUP,0.975,M5,,98.38805231613206
Regression,AAUP,0.975,M5,,97.13687938904059
Regression,AAUP,0.975,M5,,98.55882792181144
Regression,AAUP,0.975,M5,,98.43436095760917
Regression,AAUP,0.975,M5,,94.1552074554816
Regression,AAUP,0.975,M5,,102.56250946731984
Regression,AAUP,0.975,M5,,97.90649500715979
Regression,AAUP,0.975,M5,,99.81738460355294
