task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,Cities,0.9858490566037735,LR,,18.10199647954629
Regression,Cities,0.9858490566037735,LR,,17.56308889904049
Regression,Cities,0.9858490566037735,LR,,18.312712093749397
Regression,Cities,0.9858490566037735,LR,,16.69285030389997
Regression,Cities,0.9858490566037735,LR,,16.936408542647023
Regression,Cities,0.9858490566037735,LR,,18.100652827046034
Regression,Cities,0.9858490566037735,LR,,17.626841545356832
Regression,Cities,0.9858490566037735,LR,,17.27364744988613
Regression,Cities,0.9858490566037735,LR,,18.32388130514102
Regression,Cities,0.9858490566037735,LR,,17.981152826013798
Regression,Cities,0.9858490566037735,KNN,K=3,15.697712925483463
Regression,Cities,0.9858490566037735,KNN,K=3,15.6739460781291
Regression,Cities,0.9858490566037735,KNN,K=3,15.73158121445715
Regression,Cities,0.9858490566037735,KNN,K=3,15.75402298715343
Regression,Cities,0.9858490566037735,KNN,K=3,15.778728386110897
Regression,Cities,0.9858490566037735,KNN,K=3,16.147134606699346
Regression,Cities,0.9858490566037735,KNN,K=3,16.54487643471624
Regression,Cities,0.9858490566037735,KNN,K=3,15.760969916861281
Regression,Cities,0.9858490566037735,KNN,K=3,15.762280098713196
Regression,Cities,0.9858490566037735,KNN,K=3,15.956451035849406
Regression,Cities,0.9858490566037735,M5,,23.19671132207616
Regression,Cities,0.9858490566037735,M5,,25.262660283211595
Regression,Cities,0.9858490566037735,M5,,26.635054703700376
Regression,Cities,0.9858490566037735,M5,,25.689817707423774
Regression,Cities,0.9858490566037735,M5,,25.315082536451317
Regression,Cities,0.9858490566037735,M5,,27.975730278852318
Regression,Cities,0.9858490566037735,M5,,26.114866141245123
Regression,Cities,0.9858490566037735,M5,,27.478791028748827
Regression,Cities,0.9858490566037735,M5,,24.270033322112063
Regression,Cities,0.9858490566037735,M5,,26.94364790117129
