task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.156875,LR,,39.7325842857628
Regression,MetacriticAlbums,0.156875,LR,,38.468406860642816
Regression,MetacriticAlbums,0.156875,LR,,39.82129595331793
Regression,MetacriticAlbums,0.156875,LR,,31.47668237297551
Regression,MetacriticAlbums,0.156875,LR,,36.98095400502359
Regression,MetacriticAlbums,0.156875,LR,,34.10464106791444
Regression,MetacriticAlbums,0.156875,LR,,35.766020427075524
Regression,MetacriticAlbums,0.156875,LR,,36.89538839314461
Regression,MetacriticAlbums,0.156875,LR,,37.73491975112802
Regression,MetacriticAlbums,0.156875,LR,,33.80210911423242
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.160418120987114
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.261663265823703
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.041702858660535
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.385572691750355
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.072601202283856
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.091697714192968
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.418203488906368
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.17096724580879
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.62425663014615
Regression,MetacriticAlbums,0.156875,KNN,K=3,17.051490449758614
Regression,MetacriticAlbums,0.156875,M5,,20.681270981981484
Regression,MetacriticAlbums,0.156875,M5,,20.056960057502163
Regression,MetacriticAlbums,0.156875,M5,,19.73982244779412
Regression,MetacriticAlbums,0.156875,M5,,19.24320181579082
Regression,MetacriticAlbums,0.156875,M5,,21.18080532472362
Regression,MetacriticAlbums,0.156875,M5,,20.96739366996599
Regression,MetacriticAlbums,0.156875,M5,,20.38881404468392
Regression,MetacriticAlbums,0.156875,M5,,19.70550651303457
Regression,MetacriticAlbums,0.156875,M5,,19.57424577868374
Regression,MetacriticAlbums,0.156875,M5,,20.266557061921233
