task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.918,LR,,20.140283849926032
Regression,MetacriticMovies,0.918,LR,,20.0599024313811
Regression,MetacriticMovies,0.918,LR,,20.239298003543023
Regression,MetacriticMovies,0.918,LR,,20.209656181526203
Regression,MetacriticMovies,0.918,LR,,20.134192663817892
Regression,MetacriticMovies,0.918,LR,,20.16053722328308
Regression,MetacriticMovies,0.918,LR,,20.25872009972972
Regression,MetacriticMovies,0.918,LR,,20.16975774836971
Regression,MetacriticMovies,0.918,LR,,20.14549358738561
Regression,MetacriticMovies,0.918,LR,,20.10337190768282
Regression,MetacriticMovies,0.918,KNN,K=3,22.76199538233454
Regression,MetacriticMovies,0.918,KNN,K=3,22.8395955932343
Regression,MetacriticMovies,0.918,KNN,K=3,22.593577232235443
Regression,MetacriticMovies,0.918,KNN,K=3,22.74414705764053
Regression,MetacriticMovies,0.918,KNN,K=3,22.83386494984428
Regression,MetacriticMovies,0.918,KNN,K=3,22.887857101954378
Regression,MetacriticMovies,0.918,KNN,K=3,22.838383071623262
Regression,MetacriticMovies,0.918,KNN,K=3,22.554259487275363
Regression,MetacriticMovies,0.918,KNN,K=3,23.03732113787397
Regression,MetacriticMovies,0.918,KNN,K=3,22.948054331356253
Regression,MetacriticMovies,0.918,M5,,30.18623131808356
Regression,MetacriticMovies,0.918,M5,,29.310344592357723
Regression,MetacriticMovies,0.918,M5,,29.324105853604816
Regression,MetacriticMovies,0.918,M5,,29.7732731592184
Regression,MetacriticMovies,0.918,M5,,29.404246131024593
Regression,MetacriticMovies,0.918,M5,,29.478801428137693
Regression,MetacriticMovies,0.918,M5,,30.17649911702273
Regression,MetacriticMovies,0.918,M5,,29.323325551333788
Regression,MetacriticMovies,0.918,M5,,29.7579443035389
Regression,MetacriticMovies,0.918,M5,,28.603679430810523
