task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.445,NB,,0.606807511737089
Classification,MetacriticAlbums,0.445,NB,,0.60254303599374
Classification,MetacriticAlbums,0.445,NB,,0.605359937402191
Classification,MetacriticAlbums,0.445,NB,,0.59419014084507
Classification,MetacriticAlbums,0.445,NB,,0.60254303599374
Classification,MetacriticAlbums,0.445,NB,,0.598239436619718
Classification,MetacriticAlbums,0.445,NB,,0.602464788732394
Classification,MetacriticAlbums,0.445,NB,,0.598337245696401
Classification,MetacriticAlbums,0.445,NB,,0.602484350547731
Classification,MetacriticAlbums,0.445,NB,,0.5981220657277
Classification,MetacriticAlbums,0.445,KNN,K=3,0.5070813771518
Classification,MetacriticAlbums,0.445,KNN,K=3,0.5195813771518
Classification,MetacriticAlbums,0.445,KNN,K=3,0.497241784037559
Classification,MetacriticAlbums,0.445,KNN,K=3,0.501428012519562
Classification,MetacriticAlbums,0.445,KNN,K=3,0.505731611893584
Classification,MetacriticAlbums,0.445,KNN,K=3,0.529636150234742
Classification,MetacriticAlbums,0.445,KNN,K=3,0.516823161189358
Classification,MetacriticAlbums,0.445,KNN,K=3,0.515590766823161
Classification,MetacriticAlbums,0.445,KNN,K=3,0.514045383411581
Classification,MetacriticAlbums,0.445,KNN,K=3,0.508392018779343
Classification,MetacriticAlbums,0.445,C45,,0.516764475743349
Classification,MetacriticAlbums,0.445,C45,,0.499921752738654
Classification,MetacriticAlbums,0.445,C45,,0.522359154929577
Classification,MetacriticAlbums,0.445,C45,,0.476134585289515
Classification,MetacriticAlbums,0.445,C45,,0.51830985915493
Classification,MetacriticAlbums,0.445,C45,,0.509800469483568
Classification,MetacriticAlbums,0.445,C45,,0.539241001564945
Classification,MetacriticAlbums,0.445,C45,,0.51116979655712
Classification,MetacriticAlbums,0.445,C45,,0.512656494522692
Classification,MetacriticAlbums,0.445,C45,,0.513967136150235
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.615160406885759
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.581357589984351
Classification,MetacriticAlbums,0.445,SVM,C=100,0.501232394366197
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.50829420970266
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.619366197183099
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.567410015649452
Classification,MetacriticAlbums,0.445,SVM,C=100,0.516725352112676
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.504107981220657
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=1.0,0.609507042253521
Classification,MetacriticAlbums,0.445,SVM,C=10.0,0.570148669796557
Classification,MetacriticAlbums,0.445,SVM,C=100,0.505672926447574
Classification,MetacriticAlbums,0.445,SVM,C=1000,0.500058685446009
Classification,MetacriticAlbums,0.445,SVM,C=0.001,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.01,0.620774647887324
Classification,MetacriticAlbums,0.445,SVM,C=0.1,0.620774647887324
