task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.445,LR,,15.93359656271968
Regression,MetacriticAlbums,0.445,LR,,15.796573121263332
Regression,MetacriticAlbums,0.445,LR,,15.71149284594849
Regression,MetacriticAlbums,0.445,LR,,15.836986517732194
Regression,MetacriticAlbums,0.445,LR,,15.893098496790225
Regression,MetacriticAlbums,0.445,LR,,16.16225167065021
Regression,MetacriticAlbums,0.445,LR,,15.54763978027648
Regression,MetacriticAlbums,0.445,LR,,16.06334725634747
Regression,MetacriticAlbums,0.445,LR,,15.986079802677533
Regression,MetacriticAlbums,0.445,LR,,15.552701497635757
Regression,MetacriticAlbums,0.445,KNN,K=3,16.681796766145236
Regression,MetacriticAlbums,0.445,KNN,K=3,16.6283584800292
Regression,MetacriticAlbums,0.445,KNN,K=3,16.688093139935816
Regression,MetacriticAlbums,0.445,KNN,K=3,16.710370618797004
Regression,MetacriticAlbums,0.445,KNN,K=3,16.721464050618632
Regression,MetacriticAlbums,0.445,KNN,K=3,16.65465124742073
Regression,MetacriticAlbums,0.445,KNN,K=3,16.500179454746224
Regression,MetacriticAlbums,0.445,KNN,K=3,16.758477094843432
Regression,MetacriticAlbums,0.445,KNN,K=3,16.6518014885865
Regression,MetacriticAlbums,0.445,KNN,K=3,16.63431994355448
Regression,MetacriticAlbums,0.445,M5,,20.488894875570146
Regression,MetacriticAlbums,0.445,M5,,20.425553071611112
Regression,MetacriticAlbums,0.445,M5,,21.28744441001047
Regression,MetacriticAlbums,0.445,M5,,20.424890401621894
Regression,MetacriticAlbums,0.445,M5,,20.798448216339068
Regression,MetacriticAlbums,0.445,M5,,19.735048449916825
Regression,MetacriticAlbums,0.445,M5,,20.210602700225454
Regression,MetacriticAlbums,0.445,M5,,19.666615884048447
Regression,MetacriticAlbums,0.445,M5,,19.531608324193417
Regression,MetacriticAlbums,0.445,M5,,20.496569102362795
