task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticAlbums,0.454375,NB,,0.619006849315068
Classification,MetacriticAlbums,0.454375,NB,,0.621765601217656
Classification,MetacriticAlbums,0.454375,NB,,0.614840182648402
Classification,MetacriticAlbums,0.454375,NB,,0.621822678843227
Classification,MetacriticAlbums,0.454375,NB,,0.620357686453577
Classification,MetacriticAlbums,0.454375,NB,,0.619044901065449
Classification,MetacriticAlbums,0.454375,NB,,0.617598934550989
Classification,MetacriticAlbums,0.454375,NB,,0.620395738203957
Classification,MetacriticAlbums,0.454375,NB,,0.620376712328767
Classification,MetacriticAlbums,0.454375,NB,,0.620376712328767
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.597012937595129
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.579109589041096
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.585863774733638
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.598458904109589
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.577815829528158
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.592865296803653
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.583295281582953
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.566761796042618
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.591457382039574
Classification,MetacriticAlbums,0.454375,KNN,K=3,0.594273211567732
Classification,MetacriticAlbums,0.454375,C45,,0.547412480974125
Classification,MetacriticAlbums,0.454375,C45,,0.544615677321157
Classification,MetacriticAlbums,0.454375,C45,,0.53234398782344
Classification,MetacriticAlbums,0.454375,C45,,0.528443683409437
Classification,MetacriticAlbums,0.454375,C45,,0.544805936073059
Classification,MetacriticAlbums,0.454375,C45,,0.525532724505327
Classification,MetacriticAlbums,0.454375,C45,,0.528101217656012
Classification,MetacriticAlbums,0.454375,C45,,0.528272450532725
Classification,MetacriticAlbums,0.454375,C45,,0.526731354642314
Classification,MetacriticAlbums,0.454375,C45,,0.547488584474886
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.618987823439878
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.597108066971081
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.55437595129376
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.555707762557078
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.619006849315068
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.579261796042618
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.529889649923897
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.5462899543379
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.621746575342466
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.5941400304414
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.529680365296804
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.529642313546423
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.621727549467276
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.591552511415525
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.585939878234399
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.561149162861492
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.621727549467276
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.593017503805175
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.558637747336377
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.555745814307458
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.594216133942161
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.557039573820396
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.5529299847793
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.621727549467276
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.600989345509894
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.56253805175038
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.552834855403349
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.621746575342466
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.591628614916286
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.540696347031963
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.547583713850837
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.623116438356164
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.598439878234399
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.544729832572298
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.542066210045662
Classification,MetacriticAlbums,0.454375,SVM,C=0.001,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.01,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=0.1,0.624486301369863
Classification,MetacriticAlbums,0.454375,SVM,C=1.0,0.621727549467276
Classification,MetacriticAlbums,0.454375,SVM,C=10.0,0.599885844748858
Classification,MetacriticAlbums,0.454375,SVM,C=100,0.550342465753425
Classification,MetacriticAlbums,0.454375,SVM,C=1000,0.539383561643836
