task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification Cities NB - accuracy 11 15 15
Classification Cities KNN K=3 accuracy 11 15 15
Classification Cities C45 - accuracy 9 15 15
Classification Cities SVM C=0.001 accuracy 0 15 4
Classification Cities SVM C=0.01 accuracy 0 15 4
Classification Cities SVM C=0.1 accuracy 14 15 6
Classification Cities SVM C=1.0 accuracy 13 15 15
Classification Cities SVM C=10.0 accuracy 12 15 15
Classification Cities SVM C=100 accuracy 13 15 15
Classification Cities SVM C=1000 accuracy 8 15 15
Classification MetacriticMovies NB - accuracy 2 15 15
Classification MetacriticMovies KNN K=3 accuracy 12 15 15
Classification MetacriticMovies C45 - accuracy 9 15 15
Classification MetacriticMovies SVM C=0.001 accuracy 3 15 5
Classification MetacriticMovies SVM C=0.01 accuracy 3 15 5
Classification MetacriticMovies SVM C=0.1 accuracy 2 15 15
Classification MetacriticMovies SVM C=1.0 accuracy 4 15 15
Classification MetacriticMovies SVM C=10.0 accuracy 12 15 15
Classification MetacriticMovies SVM C=100 accuracy 11 15 15
Classification MetacriticMovies SVM C=1000 accuracy 12 15 15
Classification MetacriticAlbums NB - accuracy 0 15 15
Classification MetacriticAlbums KNN K=3 accuracy 1 15 15
Classification MetacriticAlbums C45 - accuracy 6 15 15
Classification MetacriticAlbums SVM C=0.001 accuracy 3 15 8
Classification MetacriticAlbums SVM C=0.01 accuracy 3 15 8
Classification MetacriticAlbums SVM C=0.1 accuracy 3 15 8
Classification MetacriticAlbums SVM C=1.0 accuracy 2 15 15
Classification MetacriticAlbums SVM C=10.0 accuracy 9 15 15
Classification MetacriticAlbums SVM C=100 accuracy 5 15 15
Classification MetacriticAlbums SVM C=1000 accuracy 4 15 15
Classification AAUP NB - accuracy 2 15 15
Classification AAUP KNN K=3 accuracy 14 15 15
Classification AAUP C45 - accuracy 14 15 15
Classification AAUP SVM C=0.001 accuracy 4 15 5
Classification AAUP SVM C=0.01 accuracy 4 15 5
Classification AAUP SVM C=0.1 accuracy 6 15 15
Classification AAUP SVM C=1.0 accuracy 14 15 15
Classification AAUP SVM C=10.0 accuracy 13 15 15
Classification AAUP SVM C=100 accuracy 12 15 15
Classification AAUP SVM C=1000 accuracy 14 15 15
Classification Forbes NB - accuracy 14 15 15
Classification Forbes KNN K=3 accuracy 11 15 15
Classification Forbes C45 - accuracy 11 15 15
Classification Forbes SVM C=0.001 accuracy 5 15 9
Classification Forbes SVM C=0.01 accuracy 5 15 9
Classification Forbes SVM C=0.1 accuracy 4 15 15
Classification Forbes SVM C=1.0 accuracy 7 15 15
Classification Forbes SVM C=10.0 accuracy 14 15 15
Classification Forbes SVM C=100 accuracy 11 15 15
Classification Forbes SVM C=1000 accuracy 11 15 15
Regression Cities LR - root_mean_squared_error 13 15 15
Regression Cities KNN K=3 root_mean_squared_error 7 15 15
Regression Cities M5 - root_mean_squared_error 3 15 15
Regression MetacriticMovies LR - root_mean_squared_error 13 15 15
Regression MetacriticMovies KNN K=3 root_mean_squared_error 8 15 15
Regression MetacriticMovies M5 - root_mean_squared_error 10 15 15
Regression MetacriticAlbums LR - root_mean_squared_error 9 15 15
Regression MetacriticAlbums KNN K=3 root_mean_squared_error 5 15 15
Regression MetacriticAlbums M5 - root_mean_squared_error 2 15 15
Regression AAUP LR - root_mean_squared_error 13 15 15
Regression AAUP KNN K=3 root_mean_squared_error 14 15 15
Regression AAUP M5 - root_mean_squared_error 14 15 15
Regression Forbes LR - root_mean_squared_error 7 15 15
Regression Forbes KNN K=3 root_mean_squared_error 11 15 15
Regression Forbes M5 - root_mean_squared_error 11 15 15
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 3 15 14
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 3 15 15
Clustering citiesAndCountries_cluster DBSCAN metric=cosine homogeneity_score 3 15 14
Clustering citiesAndCountries_cluster DBSCAN metric=cosine completeness_score 3 15 14
Clustering citiesAndCountries_cluster DBSCAN metric=cosine v_measure_score 3 15 15
Clustering citiesAndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 3 15 15
Clustering citiesAndCountries_cluster DBSCAN metric=cosine clustering_accuracy 10 15 13
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 14 15 15
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 12 15 15
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 11 15 15
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 12 15 15
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 11 15 15
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 11 15 15
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 10 15 15
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 12 15 15
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 6 15 15
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 4 15 15
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 7 15 15
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 6 15 15
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 6 15 15
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 14 15 15
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 11 15 15
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 10 15 15
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 13 15 15
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 7 15 15
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 10 15 15
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 10 15 15
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 1 15 15
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 2 15 15
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 0 15 15
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine homogeneity_score 3 15 15
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine completeness_score 2 15 15
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine v_measure_score 3 15 15
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 3 15 15
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine clustering_accuracy 10 15 15
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 7 15 15
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 14 15 15
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 14 15 15
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 13 15 15
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 14 15 15
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 14 15 15
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 6 15 15
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 4 15 15
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 9 15 15
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 8 15 15
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 9 15 15
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 9 15 15
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 9 15 15
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 5 15 15
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 11 15 15
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 9 15 15
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 12 15 15
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 5 15 15
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 9 15 15
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 9 15 15
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 4 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_rand_index 10 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_mutual_info_score 12 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine homogeneity_score 7 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine completeness_score 14 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine v_measure_score 7 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine normalized_mutual_info_score 7 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine clustering_accuracy 12 15 13
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_rand_index 2 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_mutual_info_score 4 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" homogeneity_score 7 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" completeness_score 2 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" v_measure_score 4 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" normalized_mutual_info_score 4 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" clustering_accuracy 3 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 6 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 6 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" homogeneity_score 6 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" completeness_score 6 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" v_measure_score 6 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 6 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Agglomerative clustering" "metric=cosine, n_clusters=5" clustering_accuracy 6 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 2 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 4 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" homogeneity_score 4 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" completeness_score 2 15 15
Clustering citiesMoviesAlbumsCompaniesUni_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=5" v_measure_score 4 15 15
