task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.444076147816349
Classification,AAUP,0.9875,NB,,0.447234042553191
Classification,AAUP,0.9875,NB,,0.437827547592385
Classification,AAUP,0.9875,NB,,0.45043673012318
Classification,AAUP,0.9875,NB,,0.438712206047032
Classification,AAUP,0.9875,NB,,0.431231802911534
Classification,AAUP,0.9875,NB,,0.432385218365062
Classification,AAUP,0.9875,NB,,0.436618141097424
Classification,AAUP,0.9875,NB,,0.431466965285554
Classification,AAUP,0.9875,NB,,0.448376259798432
Classification,AAUP,0.9875,KNN,K=3,0.502150055991041
Classification,AAUP,0.9875,KNN,K=3,0.482150055991041
Classification,AAUP,0.9875,KNN,K=3,0.491556550951848
Classification,AAUP,0.9875,KNN,K=3,0.488376259798432
Classification,AAUP,0.9875,KNN,K=3,0.485162374020157
Classification,AAUP,0.9875,KNN,K=3,0.482060470324748
Classification,AAUP,0.9875,KNN,K=3,0.484232922732363
Classification,AAUP,0.9875,KNN,K=3,0.493661814109742
Classification,AAUP,0.9875,KNN,K=3,0.483045912653975
Classification,AAUP,0.9875,KNN,K=3,0.485263157894737
Classification,AAUP,0.9875,C45,,0.502060470324748
Classification,AAUP,0.9875,C45,,0.504288913773796
Classification,AAUP,0.9875,C45,,0.501007838745801
Classification,AAUP,0.9875,C45,,0.476640537513998
Classification,AAUP,0.9875,C45,,0.493639417693169
Classification,AAUP,0.9875,C45,,0.497872340425532
Classification,AAUP,0.9875,C45,,0.490481522956327
Classification,AAUP,0.9875,C45,,0.491466965285554
Classification,AAUP,0.9875,C45,,0.478992161254199
Classification,AAUP,0.9875,C45,,0.501175811870101
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.58013437849944
Classification,AAUP,0.9875,SVM,C=1.0,0.58437849944009
Classification,AAUP,0.9875,SVM,C=10.0,0.571713325867861
Classification,AAUP,0.9875,SVM,C=100,0.522060470324748
Classification,AAUP,0.9875,SVM,C=1000,0.468253079507279
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.580145576707727
Classification,AAUP,0.9875,SVM,C=1.0,0.592810750279955
Classification,AAUP,0.9875,SVM,C=10.0,0.580123180291153
Classification,AAUP,0.9875,SVM,C=100,0.54010078387458
Classification,AAUP,0.9875,SVM,C=1000,0.483124300111982
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.580145576707727
Classification,AAUP,0.9875,SVM,C=1.0,0.584356103023516
Classification,AAUP,0.9875,SVM,C=10.0,0.581209406494961
Classification,AAUP,0.9875,SVM,C=100,0.527413213885778
Classification,AAUP,0.9875,SVM,C=1000,0.467267637178052
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
