task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,79.88056306189203
Regression,AAUP,0.9875,LR,,80.09645308316635
Regression,AAUP,0.9875,LR,,80.99675434611429
Regression,AAUP,0.9875,LR,,80.74543196319821
Regression,AAUP,0.9875,LR,,81.58105758884521
Regression,AAUP,0.9875,LR,,81.8379652959122
Regression,AAUP,0.9875,LR,,81.81418923122433
Regression,AAUP,0.9875,LR,,82.48848091581718
Regression,AAUP,0.9875,LR,,82.45280524847712
Regression,AAUP,0.9875,LR,,83.50495940807858
Regression,AAUP,0.9875,KNN,K=3,83.856614036486
Regression,AAUP,0.9875,KNN,K=3,84.87007090802483
Regression,AAUP,0.9875,KNN,K=3,84.76323163032532
Regression,AAUP,0.9875,KNN,K=3,84.71452096150851
Regression,AAUP,0.9875,KNN,K=3,84.08513305084058
Regression,AAUP,0.9875,KNN,K=3,84.50962496830293
Regression,AAUP,0.9875,KNN,K=3,84.39459991625141
Regression,AAUP,0.9875,KNN,K=3,84.44513286406178
Regression,AAUP,0.9875,KNN,K=3,84.25224848037863
Regression,AAUP,0.9875,KNN,K=3,84.53734156009975
Regression,AAUP,0.9875,M5,,102.02101823321128
Regression,AAUP,0.9875,M5,,102.2613197281368
Regression,AAUP,0.9875,M5,,102.77188563750722
Regression,AAUP,0.9875,M5,,100.0167544009847
Regression,AAUP,0.9875,M5,,104.01758833907995
Regression,AAUP,0.9875,M5,,101.97841070268565
Regression,AAUP,0.9875,M5,,102.77292864186029
Regression,AAUP,0.9875,M5,,103.42787675625709
Regression,AAUP,0.9875,M5,,107.32332733254066
Regression,AAUP,0.9875,M5,,102.7536162210964
