task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,Forbes,0.8511041009463722,LR,,38.74474458758523
Regression,Forbes,0.8511041009463722,LR,,39.46447531386052
Regression,Forbes,0.8511041009463722,LR,,39.49340363173053
Regression,Forbes,0.8511041009463722,LR,,38.980310169935045
Regression,Forbes,0.8511041009463722,LR,,38.576606898014234
Regression,Forbes,0.8511041009463722,LR,,38.499932304425506
Regression,Forbes,0.8511041009463722,LR,,39.12671223163392
Regression,Forbes,0.8511041009463722,LR,,39.3290885023912
Regression,Forbes,0.8511041009463722,LR,,38.792287685088965
Regression,Forbes,0.8511041009463722,LR,,38.99427493890413
Regression,Forbes,0.8511041009463722,KNN,K=3,40.82393104965318
Regression,Forbes,0.8511041009463722,KNN,K=3,41.23280601321902
Regression,Forbes,0.8511041009463722,KNN,K=3,40.868154644112884
Regression,Forbes,0.8511041009463722,KNN,K=3,41.1516437609859
Regression,Forbes,0.8511041009463722,KNN,K=3,41.222868907573385
Regression,Forbes,0.8511041009463722,KNN,K=3,40.813208581382085
Regression,Forbes,0.8511041009463722,KNN,K=3,41.01425849166787
Regression,Forbes,0.8511041009463722,KNN,K=3,41.246092215710505
Regression,Forbes,0.8511041009463722,KNN,K=3,41.44635430960517
Regression,Forbes,0.8511041009463722,KNN,K=3,41.045620154595625
Regression,Forbes,0.8511041009463722,M5,,54.77808447404573
Regression,Forbes,0.8511041009463722,M5,,55.87114449741252
Regression,Forbes,0.8511041009463722,M5,,58.44659915156211
Regression,Forbes,0.8511041009463722,M5,,57.97860431427823
Regression,Forbes,0.8511041009463722,M5,,56.034897006551645
Regression,Forbes,0.8511041009463722,M5,,57.31062824376071
Regression,Forbes,0.8511041009463722,M5,,57.8050298772738
Regression,Forbes,0.8511041009463722,M5,,60.816981488969574
Regression,Forbes,0.8511041009463722,M5,,57.02873507492808
Regression,Forbes,0.8511041009463722,M5,,60.49628116666116
