task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,23.620133742199982
Regression,MetacriticMovies,0.919,LR,,23.548476535959427
Regression,MetacriticMovies,0.919,LR,,23.67846908571884
Regression,MetacriticMovies,0.919,LR,,23.785752315698858
Regression,MetacriticMovies,0.919,LR,,23.60836055683211
Regression,MetacriticMovies,0.919,LR,,23.660135993531977
Regression,MetacriticMovies,0.919,LR,,23.74122472772953
Regression,MetacriticMovies,0.919,LR,,23.696383021052572
Regression,MetacriticMovies,0.919,LR,,23.596328582646503
Regression,MetacriticMovies,0.919,LR,,23.56831036971179
Regression,MetacriticMovies,0.919,KNN,K=3,25.60114306317552
Regression,MetacriticMovies,0.919,KNN,K=3,25.306100441380075
Regression,MetacriticMovies,0.919,KNN,K=3,25.539199401255747
Regression,MetacriticMovies,0.919,KNN,K=3,25.347676063320797
Regression,MetacriticMovies,0.919,KNN,K=3,25.55722677113416
Regression,MetacriticMovies,0.919,KNN,K=3,25.78761243492056
Regression,MetacriticMovies,0.919,KNN,K=3,25.667997879438012
Regression,MetacriticMovies,0.919,KNN,K=3,25.465963776217553
Regression,MetacriticMovies,0.919,KNN,K=3,25.43003737788341
Regression,MetacriticMovies,0.919,KNN,K=3,25.57509674987848
Regression,MetacriticMovies,0.919,M5,,31.53982030674632
Regression,MetacriticMovies,0.919,M5,,31.554714743903894
Regression,MetacriticMovies,0.919,M5,,32.32102142675097
Regression,MetacriticMovies,0.919,M5,,31.886947459605352
Regression,MetacriticMovies,0.919,M5,,31.216137969752463
Regression,MetacriticMovies,0.919,M5,,31.69255044520126
Regression,MetacriticMovies,0.919,M5,,31.772555969521726
Regression,MetacriticMovies,0.919,M5,,31.579012052354056
Regression,MetacriticMovies,0.919,M5,,31.143597194844926
Regression,MetacriticMovies,0.919,M5,,32.75881294756009
