task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.585427061059634
Classification,MetacriticMovies,0.919,NB,,0.590306486101212
Classification,MetacriticMovies,0.919,NB,,0.594675100974103
Classification,MetacriticMovies,0.919,NB,,0.593600023758612
Classification,MetacriticMovies,0.919,NB,,0.589810525065336
Classification,MetacriticMovies,0.919,NB,,0.588673081492041
Classification,MetacriticMovies,0.919,NB,,0.589712520788786
Classification,MetacriticMovies,0.919,NB,,0.59137859349014
Classification,MetacriticMovies,0.919,NB,,0.589771917320028
Classification,MetacriticMovies,0.919,NB,,0.592539795675932
Classification,MetacriticMovies,0.919,KNN,K=3,0.547339035400333
Classification,MetacriticMovies,0.919,KNN,K=3,0.55004157757187
Classification,MetacriticMovies,0.919,KNN,K=3,0.542925873129009
Classification,MetacriticMovies,0.919,KNN,K=3,0.553332145402708
Classification,MetacriticMovies,0.919,KNN,K=3,0.545153243050606
Classification,MetacriticMovies,0.919,KNN,K=3,0.540781658351152
Classification,MetacriticMovies,0.919,KNN,K=3,0.553872653837016
Classification,MetacriticMovies,0.919,KNN,K=3,0.535388453314326
Classification,MetacriticMovies,0.919,KNN,K=3,0.557665122356854
Classification,MetacriticMovies,0.919,KNN,K=3,0.541351865051081
Classification,MetacriticMovies,0.919,C45,,0.54188049417914
Classification,MetacriticMovies,0.919,C45,,0.536475409836066
Classification,MetacriticMovies,0.919,C45,,0.530464480874317
Classification,MetacriticMovies,0.919,C45,,0.538679021145165
Classification,MetacriticMovies,0.919,C45,,0.525002969826562
Classification,MetacriticMovies,0.919,C45,,0.542435851746258
Classification,MetacriticMovies,0.919,C45,,0.528828106438584
Classification,MetacriticMovies,0.919,C45,,0.539730339748159
Classification,MetacriticMovies,0.919,C45,,0.525035637918746
Classification,MetacriticMovies,0.919,C45,,0.538096935138988
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.605039795675933
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.592524946543122
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.576170111665479
Classification,MetacriticMovies,0.919,SVM,C=100,0.548987289142314
Classification,MetacriticMovies,0.919,SVM,C=1000,0.524495129484438
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.605553575671181
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.594125683060109
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.563670111665479
Classification,MetacriticMovies,0.919,SVM,C=100,0.54733606557377
Classification,MetacriticMovies,0.919,SVM,C=1000,0.52014433357092
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.605559515324305
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.588135542884296
