task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.454375,LR,,15.81581590220009
Regression,MetacriticAlbums,0.454375,LR,,15.882503827939122
Regression,MetacriticAlbums,0.454375,LR,,15.980437524205445
Regression,MetacriticAlbums,0.454375,LR,,16.174233213639017
Regression,MetacriticAlbums,0.454375,LR,,16.25497702347002
Regression,MetacriticAlbums,0.454375,LR,,15.829253143209135
Regression,MetacriticAlbums,0.454375,LR,,15.916819165251962
Regression,MetacriticAlbums,0.454375,LR,,15.89300484684774
Regression,MetacriticAlbums,0.454375,LR,,16.09846391498807
Regression,MetacriticAlbums,0.454375,LR,,15.501656162636568
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.201644535866475
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.158219063021555
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.239178169620125
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.0228111028321
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.33784293459228
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.01320142440161
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.10475009128507
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.203255037695705
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.3234811550906
Regression,MetacriticAlbums,0.454375,KNN,K=3,15.897642086534159
Regression,MetacriticAlbums,0.454375,M5,,19.334422524187413
Regression,MetacriticAlbums,0.454375,M5,,19.14003182276543
Regression,MetacriticAlbums,0.454375,M5,,19.934171277186017
Regression,MetacriticAlbums,0.454375,M5,,19.847731003299423
Regression,MetacriticAlbums,0.454375,M5,,19.023606274663717
Regression,MetacriticAlbums,0.454375,M5,,20.113629233634196
Regression,MetacriticAlbums,0.454375,M5,,19.33004373972914
Regression,MetacriticAlbums,0.454375,M5,,19.72783160106697
Regression,MetacriticAlbums,0.454375,M5,,18.998741131171226
Regression,MetacriticAlbums,0.454375,M5,,18.832870871166477
