task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,AAUP,0.9875,NB,,0.557939529675252
Classification,AAUP,0.9875,NB,,0.543303471444569
Classification,AAUP,0.9875,NB,,0.544300111982083
Classification,AAUP,0.9875,NB,,0.541198208286674
Classification,AAUP,0.9875,NB,,0.561108622620381
Classification,AAUP,0.9875,NB,,0.552877939529675
Classification,AAUP,0.9875,NB,,0.562150055991042
Classification,AAUP,0.9875,NB,,0.56545352743561
Classification,AAUP,0.9875,NB,,0.54531914893617
Classification,AAUP,0.9875,NB,,0.560123180291153
Classification,AAUP,0.9875,KNN,K=3,0.508353863381859
Classification,AAUP,0.9875,KNN,K=3,0.5105039193729
Classification,AAUP,0.9875,KNN,K=3,0.501086226203807
Classification,AAUP,0.9875,KNN,K=3,0.502060470324748
Classification,AAUP,0.9875,KNN,K=3,0.513695408734602
Classification,AAUP,0.9875,KNN,K=3,0.513773796192609
Classification,AAUP,0.9875,KNN,K=3,0.501108622620381
Classification,AAUP,0.9875,KNN,K=3,0.511567749160134
Classification,AAUP,0.9875,KNN,K=3,0.506450167973124
Classification,AAUP,0.9875,KNN,K=3,0.513572228443449
Classification,AAUP,0.9875,C45,,0.460974244120941
Classification,AAUP,0.9875,C45,,0.462082866741321
Classification,AAUP,0.9875,C45,,0.484098544232923
Classification,AAUP,0.9875,C45,,0.49040313549832
Classification,AAUP,0.9875,C45,,0.468320268756999
Classification,AAUP,0.9875,C45,,0.477894736842105
Classification,AAUP,0.9875,C45,,0.48535274356103
Classification,AAUP,0.9875,C45,,0.452519596864502
Classification,AAUP,0.9875,C45,,0.506315789473684
Classification,AAUP,0.9875,C45,,0.45568868980963
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.578051511758119
Classification,AAUP,0.9875,SVM,C=1.0,0.589608062709966
Classification,AAUP,0.9875,SVM,C=10.0,0.578040313549832
Classification,AAUP,0.9875,SVM,C=100,0.525296752519597
Classification,AAUP,0.9875,SVM,C=1000,0.457737961926092
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.581175811870101
Classification,AAUP,0.9875,SVM,C=1.0,0.591746920492721
Classification,AAUP,0.9875,SVM,C=10.0,0.565341545352744
Classification,AAUP,0.9875,SVM,C=100,0.528443449048152
Classification,AAUP,0.9875,SVM,C=1000,0.46511758118701
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.573829787234042
Classification,AAUP,0.9875,SVM,C=1.0,0.591735722284434
Classification,AAUP,0.9875,SVM,C=10.0,0.580190369540874
Classification,AAUP,0.9875,SVM,C=100,0.517917133258679
Classification,AAUP,0.9875,SVM,C=1000,0.477827547592385
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.577021276595744
Classification,AAUP,0.9875,SVM,C=1.0,0.591758118701008
Classification,AAUP,0.9875,SVM,C=10.0,0.582273236282195
Classification,AAUP,0.9875,SVM,C=100,0.515744680851064
Classification,AAUP,0.9875,SVM,C=1000,0.458880179171333
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.573829787234042
Classification,AAUP,0.9875,SVM,C=1.0,0.586506159014558
Classification,AAUP,0.9875,SVM,C=10.0,0.576909294512878
Classification,AAUP,0.9875,SVM,C=100,0.521019036954087
Classification,AAUP,0.9875,SVM,C=1000,0.469440089585666
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.575991041433371
Classification,AAUP,0.9875,SVM,C=1.0,0.586573348264278
Classification,AAUP,0.9875,SVM,C=10.0,0.582340425531915
Classification,AAUP,0.9875,SVM,C=100,0.544367301231803
Classification,AAUP,0.9875,SVM,C=1000,0.489484882418813
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.576002239641657
Classification,AAUP,0.9875,SVM,C=1.0,0.592922732362822
Classification,AAUP,0.9875,SVM,C=10.0,0.568555431131019
Classification,AAUP,0.9875,SVM,C=100,0.520179171332587
Classification,AAUP,0.9875,SVM,C=1000,0.448387458006719
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.580179171332587
Classification,AAUP,0.9875,SVM,C=1.0,0.587513997760358
Classification,AAUP,0.9875,SVM,C=10.0,0.570593505039194
Classification,AAUP,0.9875,SVM,C=100,0.531545352743561
Classification,AAUP,0.9875,SVM,C=1000,0.47461366181411
Classification,AAUP,0.9875,SVM,C=0.001,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.01,0.546427771556551
Classification,AAUP,0.9875,SVM,C=0.1,0.577032474804031
Classification,AAUP,0.9875,SVM,C=1.0,0.5896640537514
Classification,AAUP,0.9875,SVM,C=10.0,0.576002239641657
Classification,AAUP,0.9875,SVM,C=100,0.539104143337066
Classification,AAUP,0.9875,SVM,C=1000,0.48531914893617
Classification,AAUP,0.9875,SVM,C=0.001,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.01,0.546405375139978
Classification,AAUP,0.9875,SVM,C=0.1,0.576965285554311
Classification,AAUP,0.9875,SVM,C=1.0,0.592754759238522
Classification,AAUP,0.9875,SVM,C=10.0,0.576942889137738
Classification,AAUP,0.9875,SVM,C=100,0.517950727883539
Classification,AAUP,0.9875,SVM,C=1000,0.453594624860022
