task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.576734378712283
Classification,MetacriticMovies,0.919,NB,,0.584316345925398
Classification,MetacriticMovies,0.919,NB,,0.576704680446662
Classification,MetacriticMovies,0.919,NB,,0.579968519838442
Classification,MetacriticMovies,0.919,NB,,0.584337134711333
Classification,MetacriticMovies,0.919,NB,,0.573978379662628
Classification,MetacriticMovies,0.919,NB,,0.576663102874792
Classification,MetacriticMovies,0.919,NB,,0.578308386790212
Classification,MetacriticMovies,0.919,NB,,0.576176051318603
Classification,MetacriticMovies,0.919,NB,,0.580042765502495
Classification,MetacriticMovies,0.919,KNN,K=3,0.534833095747208
Classification,MetacriticMovies,0.919,KNN,K=3,0.546768828700404
Classification,MetacriticMovies,0.919,KNN,K=3,0.531506889997624
Classification,MetacriticMovies,0.919,KNN,K=3,0.540244119743407
Classification,MetacriticMovies,0.919,KNN,K=3,0.538613684960798
Classification,MetacriticMovies,0.919,KNN,K=3,0.53482121644096
Classification,MetacriticMovies,0.919,KNN,K=3,0.539727369921597
Classification,MetacriticMovies,0.919,KNN,K=3,0.524501069137562
Classification,MetacriticMovies,0.919,KNN,K=3,0.550593965312426
Classification,MetacriticMovies,0.919,KNN,K=3,0.531587075314802
Classification,MetacriticMovies,0.919,C45,,0.512514849132811
Classification,MetacriticMovies,0.919,C45,,0.516334046091708
Classification,MetacriticMovies,0.919,C45,,0.519586006177239
Classification,MetacriticMovies,0.919,C45,,0.532103825136612
Classification,MetacriticMovies,0.919,C45,,0.52666013304823
Classification,MetacriticMovies,0.919,C45,,0.513578047042053
Classification,MetacriticMovies,0.919,C45,,0.515250059396531
Classification,MetacriticMovies,0.919,C45,,0.528869684010454
Classification,MetacriticMovies,0.919,C45,,0.527200641482537
Classification,MetacriticMovies,0.919,C45,,0.502699572344975
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
