task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification Cities NB - accuracy 10 13 13
Classification Cities KNN K=3 accuracy 11 13 13
Classification Cities C45 - accuracy 6 13 13
Classification Cities SVM C=0.001 accuracy 0 13 4
Classification Cities SVM C=0.01 accuracy 0 13 4
Classification Cities SVM C=0.1 accuracy 1 13 4
Classification Cities SVM C=1.0 accuracy 12 13 13
Classification Cities SVM C=10.0 accuracy 11 13 13
Classification Cities SVM C=100 accuracy 9 13 13
Classification Cities SVM C=1000 accuracy 3 13 13
Classification MetacriticMovies NB - accuracy 2 13 13
Classification MetacriticMovies KNN K=3 accuracy 12 13 13
Classification MetacriticMovies C45 - accuracy 12 13 13
Classification MetacriticMovies SVM C=0.001 accuracy 3 13 5
Classification MetacriticMovies SVM C=0.01 accuracy 3 13 5
Classification MetacriticMovies SVM C=0.1 accuracy 2 13 13
Classification MetacriticMovies SVM C=1.0 accuracy 12 13 13
Classification MetacriticMovies SVM C=10.0 accuracy 12 13 13
Classification MetacriticMovies SVM C=100 accuracy 12 13 13
Classification MetacriticMovies SVM C=1000 accuracy 12 13 13
Classification MetacriticAlbums NB - accuracy 0 13 13
Classification MetacriticAlbums KNN K=3 accuracy 6 13 13
Classification MetacriticAlbums C45 - accuracy 10 13 13
Classification MetacriticAlbums SVM C=0.001 accuracy 2 13 7
Classification MetacriticAlbums SVM C=0.01 accuracy 2 13 7
Classification MetacriticAlbums SVM C=0.1 accuracy 2 13 7
Classification MetacriticAlbums SVM C=1.0 accuracy 2 13 13
Classification MetacriticAlbums SVM C=10.0 accuracy 12 13 13
Classification MetacriticAlbums SVM C=100 accuracy 6 13 13
Classification MetacriticAlbums SVM C=1000 accuracy 2 13 13
Classification AAUP NB - accuracy 2 13 13
Classification AAUP KNN K=3 accuracy 12 13 13
Classification AAUP C45 - accuracy 12 13 13
Classification AAUP SVM C=0.001 accuracy 4 13 5
Classification AAUP SVM C=0.01 accuracy 4 13 5
Classification AAUP SVM C=0.1 accuracy 5 13 13
Classification AAUP SVM C=1.0 accuracy 12 13 13
Classification AAUP SVM C=10.0 accuracy 12 13 13
Classification AAUP SVM C=100 accuracy 12 13 13
Classification AAUP SVM C=1000 accuracy 12 13 13
Classification Forbes NB - accuracy 12 13 13
Classification Forbes KNN K=3 accuracy 12 13 13
Classification Forbes C45 - accuracy 10 13 13
Classification Forbes SVM C=0.001 accuracy 5 13 8
Classification Forbes SVM C=0.01 accuracy 5 13 8
Classification Forbes SVM C=0.1 accuracy 4 13 13
Classification Forbes SVM C=1.0 accuracy 10 13 13
Classification Forbes SVM C=10.0 accuracy 12 13 13
Classification Forbes SVM C=100 accuracy 10 13 13
Classification Forbes SVM C=1000 accuracy 12 13 13
Regression Cities LR - root_mean_squared_error 12 13 13
Regression Cities KNN K=3 root_mean_squared_error 5 13 13
Regression Cities M5 - root_mean_squared_error 1 13 13
Regression MetacriticMovies LR - root_mean_squared_error 10 13 13
Regression MetacriticMovies KNN K=3 root_mean_squared_error 12 13 13
Regression MetacriticMovies M5 - root_mean_squared_error 10 13 13
Regression MetacriticAlbums LR - root_mean_squared_error 3 13 13
Regression MetacriticAlbums KNN K=3 root_mean_squared_error 8 13 13
Regression MetacriticAlbums M5 - root_mean_squared_error 2 13 13
Regression AAUP LR - root_mean_squared_error 12 13 13
Regression AAUP KNN K=3 root_mean_squared_error 12 13 13
Regression AAUP M5 - root_mean_squared_error 12 13 13
Regression Forbes LR - root_mean_squared_error 9 13 13
Regression Forbes KNN K=3 root_mean_squared_error 10 13 13
Regression Forbes M5 - root_mean_squared_error 10 13 13
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 7 13 13
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 7 13 13
Clustering citiesAndCountries_cluster DBSCAN metric=cosine homogeneity_score 8 13 13
Clustering citiesAndCountries_cluster DBSCAN metric=cosine completeness_score 8 13 13
