task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.9875,LR,,86.50833955155994
Regression,AAUP,0.9875,LR,,85.01495504532285
Regression,AAUP,0.9875,LR,,87.36433996188961
Regression,AAUP,0.9875,LR,,88.82626038063412
Regression,AAUP,0.9875,LR,,88.63362835744934
Regression,AAUP,0.9875,LR,,91.64432918919083
Regression,AAUP,0.9875,LR,,85.52125501042119
Regression,AAUP,0.9875,LR,,89.65814488590712
Regression,AAUP,0.9875,LR,,88.03729110249705
Regression,AAUP,0.9875,LR,,88.47460060951992
Regression,AAUP,0.9875,KNN,K=3,82.3207435875998
Regression,AAUP,0.9875,KNN,K=3,83.22326924390619
Regression,AAUP,0.9875,KNN,K=3,84.86784802085872
Regression,AAUP,0.9875,KNN,K=3,82.91265900538652
Regression,AAUP,0.9875,KNN,K=3,82.36422378971909
Regression,AAUP,0.9875,KNN,K=3,83.98419613232338
Regression,AAUP,0.9875,KNN,K=3,84.09115355408203
Regression,AAUP,0.9875,KNN,K=3,82.64061040637539
Regression,AAUP,0.9875,KNN,K=3,84.36435453712784
Regression,AAUP,0.9875,KNN,K=3,83.04159082709866
Regression,AAUP,0.9875,M5,,107.1004901643607
Regression,AAUP,0.9875,M5,,106.199341779057
Regression,AAUP,0.9875,M5,,105.51694230763765
Regression,AAUP,0.9875,M5,,107.11652997735726
Regression,AAUP,0.9875,M5,,106.80866553705702
Regression,AAUP,0.9875,M5,,105.71356490454198
Regression,AAUP,0.9875,M5,,109.20519546749199
Regression,AAUP,0.9875,M5,,106.89152314456871
Regression,AAUP,0.9875,M5,,110.15515131916779
Regression,AAUP,0.9875,M5,,110.47782960086299
