task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,Cities,0.9858490566037735,LR,,72.25686771661344
Regression,Cities,0.9858490566037735,LR,,88.12044593364317
Regression,Cities,0.9858490566037735,LR,,75.23719108880475
Regression,Cities,0.9858490566037735,LR,,63.29953413714543
Regression,Cities,0.9858490566037735,LR,,78.64089362647687
Regression,Cities,0.9858490566037735,LR,,79.54914033942984
Regression,Cities,0.9858490566037735,LR,,75.43544893497912
Regression,Cities,0.9858490566037735,LR,,69.97667081099269
Regression,Cities,0.9858490566037735,LR,,75.62076840127062
Regression,Cities,0.9858490566037735,LR,,67.77917782919592
Regression,Cities,0.9858490566037735,KNN,K=3,19.762613491642036
Regression,Cities,0.9858490566037735,KNN,K=3,19.4970870022472
Regression,Cities,0.9858490566037735,KNN,K=3,19.566359722556825
Regression,Cities,0.9858490566037735,KNN,K=3,20.185330097781204
Regression,Cities,0.9858490566037735,KNN,K=3,19.45699281683214
Regression,Cities,0.9858490566037735,KNN,K=3,19.398421182477904
Regression,Cities,0.9858490566037735,KNN,K=3,19.453604086147173
Regression,Cities,0.9858490566037735,KNN,K=3,19.825883107192773
Regression,Cities,0.9858490566037735,KNN,K=3,19.419300181858944
Regression,Cities,0.9858490566037735,KNN,K=3,19.884294829406556
Regression,Cities,0.9858490566037735,M5,,23.33323499479477
Regression,Cities,0.9858490566037735,M5,,23.256330197530037
Regression,Cities,0.9858490566037735,M5,,22.158248752589532
Regression,Cities,0.9858490566037735,M5,,25.704583080289673
Regression,Cities,0.9858490566037735,M5,,25.123752286705646
Regression,Cities,0.9858490566037735,M5,,25.245922900557453
Regression,Cities,0.9858490566037735,M5,,21.727792481438552
Regression,Cities,0.9858490566037735,M5,,21.857210161370453
Regression,Cities,0.9858490566037735,M5,,23.178790809389632
Regression,Cities,0.9858490566037735,M5,,22.897378223740198
