task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,0.454375,LR,,15.492880971328677
Regression,MetacriticAlbums,0.454375,LR,,15.745589377093358
Regression,MetacriticAlbums,0.454375,LR,,15.653473878983458
Regression,MetacriticAlbums,0.454375,LR,,16.134492800454403
Regression,MetacriticAlbums,0.454375,LR,,15.704112596316511
Regression,MetacriticAlbums,0.454375,LR,,15.498549724274119
Regression,MetacriticAlbums,0.454375,LR,,15.709540123417872
Regression,MetacriticAlbums,0.454375,LR,,15.953835865088546
Regression,MetacriticAlbums,0.454375,LR,,16.438178093203696
Regression,MetacriticAlbums,0.454375,LR,,15.994549349084465
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.192523781530394
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.28353585942395
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.388900844576412
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.244510562950175
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.391053451572287
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.14505096808139
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.308348428901066
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.358372931348036
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.40949682311097
Regression,MetacriticAlbums,0.454375,KNN,K=3,16.053625029381713
Regression,MetacriticAlbums,0.454375,M5,,19.60684694753194
Regression,MetacriticAlbums,0.454375,M5,,19.876191737100633
Regression,MetacriticAlbums,0.454375,M5,,20.0558302272735
Regression,MetacriticAlbums,0.454375,M5,,20.168329251524064
Regression,MetacriticAlbums,0.454375,M5,,19.76865558642132
Regression,MetacriticAlbums,0.454375,M5,,19.678285549569985
Regression,MetacriticAlbums,0.454375,M5,,20.528372557898116
Regression,MetacriticAlbums,0.454375,M5,,19.89514595967052
Regression,MetacriticAlbums,0.454375,M5,,19.767715480234838
Regression,MetacriticAlbums,0.454375,M5,,20.01147351202479
