task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,0.919,LR,,23.707491495260427
Regression,MetacriticMovies,0.919,LR,,23.84890843292639
Regression,MetacriticMovies,0.919,LR,,23.68711612970538
Regression,MetacriticMovies,0.919,LR,,23.58782091295408
Regression,MetacriticMovies,0.919,LR,,23.80821436447721
Regression,MetacriticMovies,0.919,LR,,23.79953851531423
Regression,MetacriticMovies,0.919,LR,,23.69581650484554
Regression,MetacriticMovies,0.919,LR,,23.743383672022357
Regression,MetacriticMovies,0.919,LR,,23.640924311670325
Regression,MetacriticMovies,0.919,LR,,23.695117975206102
Regression,MetacriticMovies,0.919,KNN,K=3,26.021975606532138
Regression,MetacriticMovies,0.919,KNN,K=3,25.57875368307286
Regression,MetacriticMovies,0.919,KNN,K=3,25.803792260608283
Regression,MetacriticMovies,0.919,KNN,K=3,25.8416008329293
Regression,MetacriticMovies,0.919,KNN,K=3,25.812448246877818
Regression,MetacriticMovies,0.919,KNN,K=3,26.106247681867394
Regression,MetacriticMovies,0.919,KNN,K=3,25.839008013307556
Regression,MetacriticMovies,0.919,KNN,K=3,25.830243058410183
Regression,MetacriticMovies,0.919,KNN,K=3,25.738317548649967
Regression,MetacriticMovies,0.919,KNN,K=3,25.813193568320838
Regression,MetacriticMovies,0.919,M5,,31.940617047482057
Regression,MetacriticMovies,0.919,M5,,31.775353567950923
Regression,MetacriticMovies,0.919,M5,,31.919083262801774
Regression,MetacriticMovies,0.919,M5,,31.740079771298053
Regression,MetacriticMovies,0.919,M5,,31.61830673401669
Regression,MetacriticMovies,0.919,M5,,32.261453833616855
Regression,MetacriticMovies,0.919,M5,,31.986863418279633
Regression,MetacriticMovies,0.919,M5,,31.456377911065807
Regression,MetacriticMovies,0.919,M5,,31.50894269936533
Regression,MetacriticMovies,0.919,M5,,31.898920912509332
