task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,MetacriticMovies,0.919,NB,,0.536998099311
Classification,MetacriticMovies,0.919,NB,,0.542991209313376
Classification,MetacriticMovies,0.919,NB,,0.553314326443336
Classification,MetacriticMovies,0.919,NB,,0.547365763839392
Classification,MetacriticMovies,0.919,NB,,0.538138512710858
Classification,MetacriticMovies,0.919,NB,,0.557094915656926
Classification,MetacriticMovies,0.919,NB,,0.553845925397957
Classification,MetacriticMovies,0.919,NB,,0.563105844618674
Classification,MetacriticMovies,0.919,NB,,0.565829175576146
Classification,MetacriticMovies,0.919,NB,,0.540775718698028
Classification,MetacriticMovies,0.919,KNN,K=3,0.557644333570919
Classification,MetacriticMovies,0.919,KNN,K=3,0.55059990496555
Classification,MetacriticMovies,0.919,KNN,K=3,0.556019838441435
Classification,MetacriticMovies,0.919,KNN,K=3,0.551731408885721
Classification,MetacriticMovies,0.919,KNN,K=3,0.550632573057733
Classification,MetacriticMovies,0.919,KNN,K=3,0.558692682347351
Classification,MetacriticMovies,0.919,KNN,K=3,0.546231290092659
Classification,MetacriticMovies,0.919,KNN,K=3,0.553266809218342
Classification,MetacriticMovies,0.919,KNN,K=3,0.550044547398432
Classification,MetacriticMovies,0.919,KNN,K=3,0.549542646709432
Classification,MetacriticMovies,0.919,C45,,0.530996079828938
Classification,MetacriticMovies,0.919,C45,,0.550002969826562
Classification,MetacriticMovies,0.919,C45,,0.532632454264671
Classification,MetacriticMovies,0.919,C45,,0.536487289142314
Classification,MetacriticMovies,0.919,C45,,0.539145283915419
Classification,MetacriticMovies,0.919,C45,,0.528819196958898
Classification,MetacriticMovies,0.919,C45,,0.539163102874792
Classification,MetacriticMovies,0.919,C45,,0.513613684960798
Classification,MetacriticMovies,0.919,C45,,0.534292587312901
Classification,MetacriticMovies,0.919,C45,,0.516298408172963
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.565823235923022
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.571231290092659
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.587021857923497
Classification,MetacriticMovies,0.919,SVM,C=100,0.567465550011879
Classification,MetacriticMovies,0.919,SVM,C=1000,0.544618674269423
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.564730339748159
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.578869684010454
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.579439890710382
Classification,MetacriticMovies,0.919,SVM,C=100,0.570174031836541
Classification,MetacriticMovies,0.919,SVM,C=1000,0.574515918270373
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.5679971489665
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.574515918270373
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.591939890710382
Classification,MetacriticMovies,0.919,SVM,C=100,0.56527678783559
Classification,MetacriticMovies,0.919,SVM,C=1000,0.554392373485388
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.572371703492516
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.57021560940841
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.581646471846044
Classification,MetacriticMovies,0.919,SVM,C=100,0.567504157757187
Classification,MetacriticMovies,0.919,SVM,C=1000,0.562057495842243
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.559313376098836
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.565838085055833
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.582186980280352
Classification,MetacriticMovies,0.919,SVM,C=100,0.568579234972678
Classification,MetacriticMovies,0.919,SVM,C=1000,0.576211689237348
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.573951651223568
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.579950700879068
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.590270848182466
Classification,MetacriticMovies,0.919,SVM,C=100,0.557080066524115
Classification,MetacriticMovies,0.919,SVM,C=1000,0.56471846044191
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.566328106438584
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.566895343311951
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.570714540270848
Classification,MetacriticMovies,0.919,SVM,C=100,0.564180921834165
Classification,MetacriticMovies,0.919,SVM,C=1000,0.567459610358755
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.568017937752435
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.573440841054882
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.587036707056308
Classification,MetacriticMovies,0.919,SVM,C=100,0.576692801140413
Classification,MetacriticMovies,0.919,SVM,C=1000,0.56361665478736
Classification,MetacriticMovies,0.919,SVM,C=0.001,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.01,0.50761760513186
Classification,MetacriticMovies,0.919,SVM,C=0.1,0.574548586362556
Classification,MetacriticMovies,0.919,SVM,C=1.0,0.568510928961749
Classification,MetacriticMovies,0.919,SVM,C=10.0,0.586460560703255
Classification,MetacriticMovies,0.919,SVM,C=100,0.575632573057733
Classification,MetacriticMovies,0.919,SVM,C=1000,0.565867783321454
